date,maxtmp,mintmp,rain,sunshine,avgrh,evapor,meantemp
19860102,27.20,11.40,0.00,8.90,66.00,4.00,19.30
19860103,28.70,12.20,0.00,8.90,65.00,4.20,20.40
19860104,27.20,12.30,0.00,8.60,66.00,5.00,19.70
19860105,24.10,11.30,0.00,8.40,67.00,4.80,17.70
19860106,24.10,10.50,0.00,6.50,64.00,4.70,17.30
19860107,24.10,10.40,0.00,7.80,66.00,4.70,17.20
19860108,25.30,10.70,0.00,8.60,66.00,5.30,18.00
19860109,26.60,12.00,0.00,7.80,64.00,5.00,19.30
19860110,26.30,13.50,0.00,8.30,65.00,4.90,19.90
19860111,27.80,12.40,0.00,8.60,65.00,4.30,20.10
19860112,27.90,12.50,0.00,8.90,68.00,5.10,20.20
19860113,29.20,14.40,0.00,8.30,68.00,4.90,21.80
19860114,29.30,14.40,0.00,7.70,68.00,5.00,21.80
19860115,30.30,14.90,0.00,9.00,67.00,4.30,22.60
19860116,30.60,15.50,0.00,7.30,66.00,4.00,23.00
19860117,33.10,15.50,0.00,8.80,64.00,4.00,24.30
19860118,33.70,16.70,0.00,8.90,65.00,4.00,25.20
19860119,33.60,17.90,0.00,8.80,67.00,4.00,25.70
19860120,32.90,18.90,0.00,8.90,68.00,4.90,25.90
19860121,30.90,19.40,0.00,8.20,64.00,4.90,25.10
19860122,31.20,17.10,0.00,9.20,67.00,5.20,24.10
19860123,31.20,16.70,0.00,9.10,67.00,5.00,23.90
19860124,32.60,17.30,0.00,7.90,67.00,4.70,24.90
19860125,32.10,17.60,0.00,7.80,66.00,4.60,24.80
19860126,29.70,18.00,0.00,8.50,63.00,5.00,23.80
19860127,28.40,14.70,0.00,9.40,64.00,5.60,21.50
19860128,28.80,13.30,0.00,8.90,67.00,5.50,21.00
19860129,29.30,14.00,0.00,9.00,67.00,4.30,21.60
19860130,32.20,13.90,0.00,8.80,64.00,4.30,23.00
19860131,33.10,14.80,0.00,8.70,62.00,4.30,23.90
19860201,33.20,15.90,0.00,7.30,62.00,3.50,24.50
19860202,33.10,18.70,0.00,6.80,62.00,2.40,25.90
19860203,33.30,18.40,0.00,6.80,67.00,3.90,25.80
19860204,32.40,20.90,0.00,7.00,69.00,4.20,26.60
19860205,34.10,19.80,0.00,7.20,66.00,4.60,26.90
19860206,34.60,19.20,0.00,8.10,66.00,4.30,26.90
19860207,31.70,19.30,0.00,8.00,68.00,5.20,25.50
19860208,28.90,16.10,0.00,7.50,64.00,4.20,22.50
19860209,31.20,16.30,0.00,8.90,67.00,6.00,23.70
19860210,29.50,17.80,0.00,8.10,66.00,5.80,23.60
19860211,30.40,14.40,0.00,9.40,63.00,4.80,22.40
19860212,31.60,15.70,0.00,9.20,65.00,4.00,23.60
19860213,34.70,16.40,0.00,9.10,63.00,5.40,25.50
19860214,35.30,18.60,0.00,8.40,58.00,6.10,26.90
19860215,36.50,20.90,0.00,8.90,61.00,6.60,28.70
19860216,36.80,21.40,0.00,8.90,62.00,8.50,29.10
19860217,36.70,22.40,0.00,8.90,54.00,8.20,29.50
19860218,37.10,21.80,0.00,9.00,61.00,8.00,29.40
19860219,37.50,23.30,0.00,9.10,50.00,7.50,30.40
19860220,32.20,18.80,0.00,9.10,62.00,6.30,25.50
19860221,29.70,16.80,0.00,9.20,66.00,5.60,23.20
19860222,31.60,15.50,0.00,9.30,67.00,6.00,23.50
19860223,34.60,17.70,0.00,8.50,66.00,3.90,26.10
19860224,34.40,20.80,0.00,7.00,67.00,5.50,27.60
19860225,31.70,21.80,0.00,2.90,65.00,4.00,26.70
19860226,32.40,21.90,0.00,5.20,65.00,4.90,27.10
19860227,33.20,19.70,0.00,7.30,69.00,5.70,26.40
19860228,31.40,20.60,0.00,6.80,63.00,6.60,26.00
19860301,25.50,17.70,0.00,0.90,57.00,6.60,21.60
