date,maxtmp,mintmp,rain,sunshine,avgrh,evapor,meantemp
19860102,27.90,14.00,0.00,10.00,-9999.00,3.90,20.90
19860103,28.20,15.00,0.00,9.60,65.00,5.50,21.60
19860104,27.00,16.70,0.00,8.40,-9999.00,7.20,21.80
19860105,25.10,15.10,0.00,8.70,-9999.00,5.20,20.10
19860106,25.00,12.70,0.00,8.70,64.00,6.90,18.80
19860107,25.20,13.40,0.00,9.40,65.00,6.40,19.30
19860108,26.20,12.80,0.00,9.30,65.00,4.80,19.50
19860109,27.70,12.70,0.00,9.00,67.00,8.40,20.20
19860110,27.40,14.60,0.00,9.40,68.00,7.00,21.00
19860111,27.60,12.40,0.00,7.30,68.00,4.40,20.00
19860112,25.20,13.00,0.00,9.40,69.00,4.70,19.10
19860113,29.50,14.90,0.00,9.00,65.00,4.60,22.20
19860114,29.20,15.10,0.00,5.20,67.00,3.50,22.10
19860115,30.20,15.20,0.00,9.90,67.00,6.20,22.70
19860116,30.90,14.80,0.00,9.50,66.00,3.90,22.80
19860117,31.90,15.40,0.00,9.20,66.00,4.00,23.60
19860118,33.20,17.20,0.00,8.50,65.00,4.50,25.20
19860119,33.60,17.20,0.00,9.00,66.00,4.60,25.40
19860120,32.30,18.00,0.00,9.10,68.00,5.10,25.10
19860121,28.50,18.20,0.00,2.00,66.00,3.90,23.30
19860122,30.50,16.30,0.00,10.10,65.00,4.20,23.40
19860123,31.20,15.30,0.00,9.30,67.00,5.90,23.20
19860124,32.50,16.90,0.00,9.70,62.00,4.40,24.70
19860125,32.30,17.90,0.00,9.60,63.00,7.70,25.10
19860126,29.90,16.00,0.00,10.00,66.00,6.40,22.90
19860127,28.60,16.30,0.00,10.10,65.00,8.10,22.40
19860128,28.60,13.30,0.00,9.50,65.00,4.40,20.90
19860129,29.70,13.00,0.00,9.40,65.00,4.90,21.30
19860130,32.00,14.30,0.00,9.20,64.00,4.30,23.10
19860131,33.30,15.30,0.00,8.70,62.00,3.90,24.30
19860201,32.70,17.40,0.00,8.70,65.00,4.20,25.00
19860202,33.00,20.50,0.00,8.10,65.00,4.40,26.70
19860203,33.10,19.20,0.00,8.60,66.00,4.30,26.10
19860204,33.60,20.50,0.00,7.00,67.00,3.40,27.00
19860205,33.70,19.90,0.00,8.60,67.00,4.90,26.80
19860206,34.10,20.00,0.00,8.80,68.00,6.00,27.00
19860207,32.70,18.20,0.00,8.50,68.00,8.30,25.40
19860208,30.20,14.90,0.00,10.00,65.00,5.00,22.50
19860209,31.20,15.00,0.00,9.40,68.00,5.20,23.10
19860210,30.00,15.00,0.00,9.90,63.00,8.50,22.50
19860211,30.20,13.50,0.00,9.60,66.00,4.90,21.80
19860212,31.50,13.70,0.00,9.40,64.00,4.80,22.60
19860213,33.80,15.50,0.00,9.50,63.00,5.10,24.60
19860214,35.00,17.30,0.00,8.60,65.00,3.50,26.10
19860215,35.20,21.80,0.00,8.40,65.00,5.00,28.50
19860216,35.80,22.40,0.00,8.10,65.00,6.40,29.10
19860217,35.70,25.00,0.00,9.30,63.00,5.80,30.30
19860218,36.20,22.60,0.00,9.40,64.00,6.40,29.40
19860219,36.00,21.70,0.00,9.10,61.00,8.10,28.80
19860220,32.40,23.40,0.00,7.90,65.00,7.70,27.90
19860221,30.00,19.20,0.00,9.40,64.00,6.80,24.60
19860222,32.50,17.40,0.00,8.80,66.00,4.60,24.90
19860223,34.30,18.10,0.00,9.00,67.00,4.70,26.20
19860224,33.90,20.50,0.00,9.30,65.00,6.20,27.20
19860225,32.70,19.60,0.00,8.60,65.00,6.10,26.10
19860226,33.30,19.80,0.00,8.90,65.00,5.30,26.50
