date,maxtmp,mintmp,rain,sunshine,avgrh,evapor,meantemp
19860102,29.50,14.50,0.00,9.60,56.00,4.60,22.00
19860103,29.10,15.50,0.00,8.90,62.00,5.80,22.30
19860104,26.80,17.50,0.00,8.10,58.00,4.40,22.10
19860105,24.60,15.10,0.00,8.50,57.00,5.40,19.80
19860106,25.90,13.20,0.00,9.50,57.00,6.30,19.50
19860107,25.70,14.40,0.00,8.60,57.00,2.10,20.00
19860108,27.40,13.40,0.00,6.60,54.00,4.30,20.40
19860109,28.40,15.00,0.00,9.20,58.00,5.70,21.70
19860110,27.70,16.20,0.00,8.90,59.00,3.80,21.90
19860111,28.80,13.90,0.00,8.80,59.00,4.10,21.30
19860112,29.70,14.90,0.00,9.50,58.00,5.40,22.30
19860113,30.80,16.20,0.00,7.50,59.00,3.70,23.50
19860114,31.70,16.50,0.00,8.30,58.00,4.80,24.10
19860115,30.70,17.00,0.00,9.70,58.00,5.30,23.80
19860116,31.60,16.20,0.00,9.40,57.00,3.50,23.90
19860117,33.20,15.80,0.00,8.80,57.00,3.30,24.50
19860118,34.50,17.90,0.00,9.30,52.00,6.40,26.20
19860119,34.20,17.20,0.00,9.00,54.00,5.10,25.70
19860120,32.60,18.60,0.00,8.00,58.00,6.40,25.60
19860121,31.30,18.00,0.00,8.70,55.00,7.70,24.60
19860122,31.10,16.80,0.00,9.40,55.00,6.30,23.90
19860123,31.70,16.50,0.00,9.10,57.00,3.90,24.10
19860124,32.70,17.20,0.00,9.00,57.00,6.20,24.90
19860125,32.60,18.20,0.00,9.30,53.00,7.70,25.40
19860126,29.80,16.70,0.00,9.80,54.00,7.30,23.20
19860127,28.40,16.10,0.00,9.20,58.00,9.10,22.20
19860128,28.70,13.80,0.00,9.30,55.00,5.20,21.20
19860129,30.60,14.20,0.00,9.10,56.00,3.60,22.40
19860130,32.20,15.00,0.00,9.20,53.00,6.30,23.60
19860131,33.40,15.70,0.00,9.00,52.00,4.40,24.50
19860201,33.60,19.10,0.00,8.30,55.00,5.40,26.30
19860202,33.30,20.50,0.00,8.50,58.00,5.90,26.90
19860203,34.20,20.20,0.00,8.70,55.00,4.60,27.20
19860204,33.60,20.10,0.00,8.30,58.00,5.70,26.80
19860205,33.80,20.00,0.00,7.40,58.00,6.00,26.90
19860206,34.10,22.40,0.00,6.60,56.00,5.60,28.20
19860207,33.10,18.20,0.00,8.80,60.00,7.50,25.60
19860208,31.50,16.10,0.00,9.80,57.00,6.60,23.80
19860209,32.30,15.30,0.00,9.10,59.00,5.90,23.80
19860210,30.40,18.20,0.00,9.50,53.00,9.40,24.30
19860211,30.60,13.90,0.00,9.70,56.00,4.80,22.20
19860212,31.30,14.80,0.00,9.50,57.00,5.20,23.00
19860213,34.20,15.90,0.00,9.60,53.00,6.60,25.00
19860214,35.20,18.20,0.00,8.60,53.00,5.20,26.70
19860215,35.30,21.70,0.00,7.70,56.00,5.10,28.50
19860216,35.70,22.30,0.00,7.50,61.00,6.70,29.00
19860217,35.50,24.20,0.00,5.40,56.00,6.30,29.80
19860218,36.40,23.20,0.00,6.40,56.00,7.20,29.80
19860219,36.90,23.60,0.00,4.50,51.00,7.70,30.20
19860220,31.90,22.30,0.00,5.30,69.00,7.40,27.10
19860221,30.70,18.70,0.00,8.90,57.00,7.40,24.70
19860222,33.40,16.70,0.00,9.50,58.00,5.10,25.00
19860223,34.50,20.10,0.00,9.20,55.00,6.40,27.30
19860224,33.90,20.00,0.00,8.40,-9999.00,5.10,26.90
19860225,33.40,19.60,0.00,8.60,-9999.00,-9999.00,26.50
19860226,33.30,19.80,0.00,8.00,-9999.00,-9999.00,26.50
19860227,33.10,19.70,0.00,9.50,54.00,6.10,26.40
19860228,32.80,19.50,0.00,8.40,53.00,7.00,26.10
19860301,33.30,16.30,0.00,8.40,52.00,8.10,24.80
19860302,28.20,13.30,0.00,8.70,-9999.00,9.50,20.70
19860303,23.40,12.20,0.00,8.60,53.00,7.00,17.80
19860304,26.60,11.20,0.00,9.70,56.00,7.60,18.90
19860305,28.80,12.10,0.00,10.00,55.00,6.90,20.40
19860306,31.30,14.10,0.00,9.90,56.00,7.30,22.70
19860307,32.70,13.70,0.00,9.70,59.00,6.30,23.20
19860308,33.40,17.20,0.00,9.90,57.00,6.60,25.30
19860309,34.40,17.20,0.00,9.40,56.00,6.30,25.80
19860310,36.20,17.80,0.00,9.10,57.00,6.30,27.00
19860311,36.80,18.80,0.00,7.80,58.00,6.90,27.80
19860312,36.20,24.20,0.00,8.20,63.00,6.90,30.20
19860313,38.20,24.00,0.00,9.70,60.00,6.20,31.10
19860314,38.70,20.20,0.00,10.00,59.00,8.10,29.40
