date,maxtmp,mintmp,rain,sunshine,avgrh,evapor,meantemp
19860102,27.30,12.20,0.00,10.60,68.00,3.40,19.70
19860103,28.80,13.40,0.00,10.50,67.00,6.00,21.10
19860104,26.60,15.20,0.00,10.50,66.00,4.20,20.90
19860105,24.20,13.10,0.00,9.20,65.00,5.60,18.60
19860106,24.50,11.80,0.00,8.50,63.00,3.50,18.10
19860107,24.80,12.50,0.00,9.90,60.00,4.70,18.60
19860108,24.60,12.80,0.00,9.50,60.00,4.30,18.70
19860109,26.60,14.00,0.00,9.90,60.00,4.10,20.30
19860110,26.70,13.70,0.00,9.90,59.00,5.00,20.20
19860111,27.00,12.80,0.00,9.90,59.00,3.60,19.90
19860112,28.10,13.70,0.00,10.30,61.00,4.60,20.90
19860113,28.90,14.80,0.00,10.30,66.00,4.10,21.80
19860114,28.80,14.90,0.00,9.00,69.00,3.60,21.80
19860115,29.40,15.10,0.00,9.40,63.00,5.60,22.20
19860116,30.50,15.20,0.00,10.70,63.00,3.30,22.80
19860117,32.10,15.70,0.00,10.30,65.00,4.80,23.90
19860118,32.90,17.10,0.00,9.20,63.00,4.60,25.00
19860119,33.30,18.80,0.00,10.30,62.00,5.00,26.00
19860120,32.70,19.60,0.00,10.00,61.00,5.40,26.10
19860121,30.70,18.20,0.00,9.40,60.00,4.90,24.40
19860122,30.30,17.70,0.00,10.40,61.00,5.20,24.00
19860123,31.00,16.70,0.00,10.50,63.00,4.40,23.80
19860124,32.00,17.60,0.00,9.90,66.00,4.30,24.80
19860125,31.80,18.50,0.00,10.10,60.00,5.50,25.10
19860126,29.90,18.20,0.00,10.70,62.00,5.40,24.00
19860127,27.90,14.80,0.00,10.70,62.00,5.60,21.30
19860128,28.90,13.20,0.00,10.50,66.00,3.00,21.00
19860129,29.60,13.90,0.00,10.70,65.00,5.80,21.70
19860130,32.10,13.80,0.00,10.50,66.00,3.90,22.90
19860131,33.00,15.20,0.00,10.10,66.00,4.30,24.10
19860201,33.10,16.50,0.00,9.20,69.00,3.60,24.80
19860202,32.60,21.00,0.00,6.20,68.00,3.00,26.80
19860203,33.00,20.40,0.00,7.00,69.00,3.20,26.70
19860204,32.70,19.70,0.00,9.10,70.00,3.80,26.20
19860205,33.50,20.10,0.00,8.60,69.00,5.00,26.80
19860206,34.20,20.20,0.00,9.80,66.00,4.70,27.20
19860207,31.60,18.20,0.00,8.00,63.00,5.60,24.90
19860208,29.10,16.00,0.00,10.00,62.00,4.60,22.50
19860209,30.70,15.50,0.00,10.00,67.00,4.10,23.10
19860210,29.20,18.70,0.00,10.20,59.00,5.60,23.90
19860211,30.00,14.20,0.00,10.60,62.00,6.20,22.10
19860212,30.50,16.50,0.00,9.80,64.00,3.60,23.50
19860213,33.70,16.20,0.00,10.30,64.00,4.20,24.90
19860214,34.40,17.80,0.00,9.90,63.00,5.20,26.10
19860215,35.50,21.90,0.00,9.80,61.00,4.20,28.70
19860216,35.40,22.50,0.00,9.80,60.00,5.00,28.90
19860217,35.80,22.70,0.00,9.90,56.00,6.40,29.20
19860218,36.70,23.20,0.00,10.20,50.00,5.80,29.90
19860219,36.80,24.00,0.00,9.60,49.00,5.80,30.40
19860220,32.00,21.10,0.00,10.20,60.00,6.00,26.50
19860221,29.70,16.80,0.00,10.10,60.00,6.20,23.20
19860222,31.60,15.90,0.00,10.40,64.00,4.40,23.70
19860223,34.10,18.50,0.00,8.90,66.00,4.20,26.30
19860224,33.40,22.00,0.00,9.80,62.00,6.30,27.70
19860225,31.70,20.00,0.00,6.30,67.00,3.70,25.80
19860226,32.40,20.00,0.00,7.40,67.00,4.50,26.20
19860227,32.50,20.80,0.00,8.90,66.00,4.80,26.60
19860228,30.70,20.50,0.00,6.20,63.00,6.60,25.60
19860301,26.00,15.90,0.00,4.10,61.00,5.40,20.90
19860302,20.70,13.10,0.00,7.30,55.00,5.80,16.90
19860303,23.70,11.10,0.00,9.00,51.00,3.30,17.40
19860304,25.60,10.90,0.00,9.50,51.00,5.00,18.20
19860305,28.10,12.40,0.00,9.50,51.00,6.30,20.20
19860306,29.70,13.50,0.00,9.70,59.00,4.90,21.60
19860307,32.40,16.70,0.00,9.70,59.00,5.30,24.50
19860308,32.60,17.60,0.00,9.50,55.00,4.60,25.10
19860309,32.90,17.40,0.00,8.70,55.00,4.90,25.10
19860310,34.50,19.80,0.00,8.40,57.00,5.10,27.10
19860311,36.00,20.60,0.00,7.80,57.00,4.00,28.30
19860312,35.90,25.10,0.00,4.50,57.00,5.30,30.50
19860313,37.20,26.20,0.00,8.60,53.00,3.50,31.70
19860314,38.90,26.50,0.00,8.30,48.00,7.50,32.70
19860315,39.70,23.80,0.00,9.60,48.00,6.90,31.70
19860316,38.80,23.30,0.00,9.60,49.00,7.00,31.00
19860317,38.60,24.00,0.00,9.50,51.00,6.30,31.30
19860318,38.80,23.80,0.00,9.00,47.00,6.40,31.30
19860319,39.10,25.60,0.00,9.00,48.00,6.40,32.30
19860320,40.00,23.00,0.00,9.30,41.00,6.20,31.50
19860321,39.10,26.10,0.00,8.90,48.00,7.20,32.60
19860322,39.00,27.30,0.00,9.20,52.00,7.00,33.10
19860323,38.70,25.40,0.00,8.10,59.00,6.30,32.00
19860324,37.80,26.40,0.00,6.90,61.00,7.20,32.10
19860325,36.90,24.00,0.00,7.00,69.00,5.00,30.40
19860326,37.30,25.60,0.00,6.90,61.00,5.30,31.40
19860327,38.20,26.10,0.00,7.20,65.00,7.20,32.10
19860328,37.40,23.50,0.00,8.90,67.00,6.10,30.40
19860329,38.10,25.80,0.00,8.50,59.00,5.90,31.90
19860330,38.80,25.50,0.00,9.30,52.00,7.60,32.10
19860331,38.90,21.60,0.00,9.00,43.00,7.00,30.20
19860401,38.00,24.30,0.00,7.10,56.00,5.50,31.10
19860402,39.00,25.40,0.00,8.80,56.00,7.20,32.20
19860403,39.30,26.70,0.00,8.30,55.00,6.90,33.00
19860404,37.50,26.70,0.00,7.10,60.00,5.60,32.10
19860405,36.50,23.80,0.00,7.50,61.00,6.90,30.10
19860406,35.80,25.40,0.00,5.10,63.00,6.30,30.60
19860407,35.00,24.40,0.00,9.00,58.00,5.00,29.70
19860408,35.50,21.70,0.00,8.90,58.00,6.60,28.60
19860409,37.40,23.00,0.00,9.50,57.00,6.60,30.20
19860410,37.60,25.10,0.00,6.50,62.00,4.70,31.30
19860411,36.00,25.70,0.00,7.10,69.00,5.90,30.80
19860412,35.90,23.50,6.20,5.60,67.00,6.70,29.70
19860413,33.50,23.20,0.10,5.70,78.00,2.70,28.30
19860414,34.40,25.30,0.00,3.50,70.00,5.20,29.80
19860415,36.70,23.40,1.20,9.20,64.00,6.10,30.00
19860416,33.70,22.80,11.50,4.60,78.00,3.60,28.20
19860417,35.70,24.00,0.00,10.30,67.00,6.00,29.80
19860418,37.60,25.60,0.00,10.80,57.00,8.10,31.60
19860419,36.30,25.60,2.00,7.70,62.00,3.60,30.90
19860420,37.90,24.50,2.00,8.70,64.00,5.60,31.20
19860421,37.70,24.70,11.00,7.50,73.00,7.70,31.20
19860422,34.50,23.60,25.80,8.20,75.00,5.80,29.00
19860423,32.50,21.50,0.00,9.60,78.00,3.10,27.00
19860424,32.10,24.70,3.00,6.10,85.00,4.20,28.40
19860425,34.00,23.90,0.00,8.90,79.00,4.10,28.90
19860426,35.80,25.00,0.00,7.80,75.00,5.30,30.40
19860427,35.90,25.10,0.00,10.70,71.00,6.10,30.50
19860428,35.20,26.00,0.00,6.20,75.00,5.30,30.60
