date,maxtmp,mintmp,rain,sunshine,avgrh,evapor,meantemp
19860102,27.40,11.20,0.00,9.90,64.00,3.50,19.30
19860103,29.40,12.10,0.00,10.10,62.00,3.90,20.70
19860104,28.00,12.20,0.00,9.70,61.00,5.60,20.10
19860105,24.60,11.00,0.00,10.00,61.00,4.30,17.80
19860106,24.50,10.50,0.00,9.50,61.00,3.70,17.50
19860107,24.60,10.10,0.00,9.00,62.00,3.60,17.30
19860108,25.30,10.50,0.00,9.50,60.00,4.90,17.90
19860109,26.80,13.00,0.00,9.40,59.00,4.70,19.90
19860110,26.90,14.00,0.00,9.00,61.00,4.90,20.40
19860111,27.60,12.70,0.00,9.50,62.00,3.50,20.10
19860112,28.40,12.50,0.00,10.00,63.00,4.50,20.40
19860113,29.00,14.60,0.00,9.90,64.00,4.50,21.80
19860114,29.60,14.60,0.00,8.20,69.00,3.40,22.10
19860115,30.50,15.10,0.00,10.00,65.00,6.00,22.80
19860116,30.50,15.70,0.00,7.50,65.00,4.10,23.10
19860117,32.80,16.00,0.00,10.10,64.00,3.70,24.40
19860118,34.10,16.90,0.00,10.10,61.00,5.40,25.50
19860119,33.60,18.40,0.00,10.00,64.00,4.10,26.00
19860120,32.80,19.00,0.00,9.80,65.00,5.60,25.90
19860121,31.00,19.90,0.00,8.80,60.00,4.80,25.40
19860122,30.80,17.20,0.00,10.20,66.00,5.30,24.00
19860123,30.80,17.30,0.00,9.80,62.00,4.20,24.00
19860124,32.10,17.50,0.00,9.50,67.00,4.20,24.80
19860125,32.00,17.60,0.00,8.40,63.00,4.80,24.80
19860126,30.20,18.50,0.00,9.90,56.00,6.50,24.30
19860127,28.70,14.70,0.00,10.50,58.00,5.30,21.70
19860128,28.50,13.80,0.00,10.20,63.00,3.30,21.10
19860129,29.30,14.00,0.00,10.20,66.00,4.70,21.60
19860130,32.00,14.50,0.00,10.00,60.00,5.10,23.20
19860131,33.00,15.90,0.00,9.70,59.00,4.00,24.40
19860201,33.50,16.90,0.00,9.00,60.00,3.90,25.20
19860202,32.90,19.40,0.00,7.40,62.00,3.50,26.10
19860203,32.50,19.00,0.00,7.70,69.00,3.90,25.70
19860204,31.90,21.00,0.00,9.30,70.00,3.20,26.40
19860205,34.20,19.70,0.00,9.30,66.00,5.50,26.90
19860206,34.60,19.60,0.00,9.60,65.00,4.40,27.10
19860207,30.80,19.80,0.00,9.00,65.00,4.90,25.30
19860208,28.80,16.00,0.00,8.10,63.00,4.00,22.40
19860209,30.40,16.40,0.00,9.80,67.00,5.00,23.40
19860210,29.30,18.70,0.00,9.40,60.00,4.40,24.00
19860211,30.20,15.40,0.00,10.30,61.00,5.20,22.80
19860212,30.60,15.60,0.00,10.30,63.00,4.60,23.10
19860213,34.50,16.90,0.00,10.00,59.00,4.10,25.70
19860214,35.40,18.80,0.00,9.70,58.00,5.60,27.10
19860215,36.10,20.60,0.00,9.90,55.00,6.40,28.30
19860216,37.00,20.70,0.00,9.90,53.00,6.60,28.80
19860217,36.80,21.00,0.00,9.80,51.00,6.90,28.90
19860218,37.10,20.90,0.00,9.00,50.00,6.80,29.00
19860219,37.20,23.20,0.00,9.40,45.00,6.10,30.20
19860220,32.70,20.50,0.00,9.90,53.00,6.80,26.60
19860221,29.80,17.20,0.00,10.10,60.00,5.30,23.50
19860222,30.80,16.30,0.00,10.10,63.00,3.10,23.50
19860223,34.80,18.30,0.00,9.70,60.00,5.80,26.50
19860224,33.80,21.30,0.00,8.90,59.00,6.30,27.50
19860225,31.10,21.70,0.00,3.90,66.00,3.20,26.40
19860226,31.40,21.80,0.00,3.90,63.00,4.70,26.60
19860227,32.60,20.10,0.00,8.80,65.00,6.10,26.30
19860228,30.40,21.00,0.00,6.40,58.00,4.30,25.70
19860301,25.40,17.60,0.00,0.10,-9999.00,6.90,21.50
19860302,21.50,14.00,0.00,3.70,-9999.00,6.70,17.70
19860303,23.50,12.30,0.00,5.50,-9999.00,4.00,17.90
19860304,25.80,11.10,0.00,8.90,-9999.00,5.60,18.40
