"WmoCode", "StationNameEnglish", "Latitude", "Longitude", "HeightAboveMSL", "HeightofWindWane", "HeightofBarometer","HeightofThermometer",
"5501001201","48331","NAN","18.779722222222","100.77777777778","200.00","12.07","201.60","1.20",
"5501001301","48333","NAN AGROMET.","18.866666666667","100.75","264.00","11.00","263.88","1.25",
"5506001401","48315","THA WANGPHA","19.110555555556","100.8025","234.70","11.25","236.52","1.25",
"5508001401","48307","THUNG CHANG","19.411944444444","100.88352777778","333.39","11.94","334.94","1.25",
"5601001201","48310","PHAYAO","19.133333333333","99.9","396.89","12.00","398.94","1.50",
"5701001201","48303","CHIANG RAI","19.961388888889","99.881388888889","390.00","10.50","393.00","1.25",
"5701001301","48304","CHAING RAI AGROMET.","19.870833333333","99.782777777778","397.00","11.00","401.05","5.00",
"5801001201","48300","MAE HONG SON","19.298972222222","97.975777777778","267.74","19.98","278.48","1.20",
"5804001201","48325","MAE SARIANG","18.166666666667","97.933333333333","211.00","11.77","213.00","1.20",
"6001001201","48400","NAKHON SAWAN","15.671833333333","100.13236111111","33.91","14.00","35.28","1.20",
"6012001301","48401","TAKFA AGROMET.","15.349444444444","100.53027777778","86.67","11.00","86.94","1.25",
"6201001201","48380","KAMPHAENG PHET","16.486805555556","99.526972222222","80.00","12.40","81.80","1.50",
"6301001201","48376","TAK","16.878333333333","99.143333333333","125.62","12.00","126.62","1.50",
"6301001301","48387","DOI MU SOE AGROMET.","16.75","98.933333333333","863.00","10.50","867.80","1.25",
"6303001201","48377","BHUMIBOL DAM","17.243888888889","99.0025","143.73","15.00","144.38","1.25",
"6306001201","48375","MAE SOT","16.659166666667","98.550833333333","196.00","11.56","197.46","1.50",
"6308001401","48385","UMPHANG","16.024722222222","98.864444444444","454.00","12.00","460.00","1.25",
"6406001201","48372","SUKHOTHAI*","17.106111111111","99.8","48.29","11.00","50.20","1.25",
"6406001301","48373","SI SAMRONG AGROMET.","17.161361111111","99.861666666667","54.00","10.20","54.20","1.25",
"6501001201","48378","PHITSANULOK","16.794805555556","100.27930555556","44.02","1.00","45.74","1.25",
"6601001301","48386","PICHIT AGROMET.","16.438055555556","100.2925","35.95","11.00","37.95","1.20",
"6701001201","48379","PHETCHABUN","16.433333333333","101.15","114.00","10.00","116.07","1.25",
"6703001401","48374","LOM SAK","16.773611111111","101.24944444444","142.81","10.75","144.86","1.25",
"6705001401","48413","WICHIAN BURI","15.657","101.108","68.00","10.00","69.70","1.20",
"6711001301","-9999","Khao Kho Agromet","-9999","-9999","-9999","-9999","-9999","-9999",
"7001001301","48464","RATCHA BURI","13.489305555556","99.792388888889","5.00","10.70",".00","1.50",
"7100001201","48450","KANCHANA BURI","14.0225","99.535833333333","27.53","14.80","28.78","1.25",
"7107001401","48421","THONG PHAPHUM","14.742222222222","98.636388888889","97.36","12.47","99.29","1.25",
"7201001201","48425","SUPHAN BURI","14.474444444444","100.13888888889","7.23","11.50","8.83","1.20",
"7209001301","48427","U THONG AGROMET.","14.303611111111","99.864722222222","6.00","10.80","6.68","1.50",
"7302001301","48451","NAKHONPATHOM","14.011666666667","99.97","7.46","11.00","9.65","1.20",
"7601001201","48465","PHETCHA BURI","12.999444444444","100.06055555556","2.01","10.50","3.77","1.40",
"7701001201","48500","PRACHUAP KHIRIKHAN","11.833333333333","99.833333333333","4.00","11.70","5.90","1.20",
"7707001201","48475","HUA HIN","12.586111111111","99.9625","4.73","14.00","6.23","1.50",
"7707001301","48474","NONG PHLUB AGROMET.","12.583333333333","99.733333333333","106.00","10.50","107.75","1.20",
"8001001201","48552","NAKHONSI THAMMARAT","8.5377777777778","99.963888888889","3.14","14.50","5.54","1.25",
"8004001401","48557","CHAWANG","8.4319444444444","99.511944444444","28.12","12.00","30.37","1.25",
"8015001201","48553","KHANOM","9.2430555555556","99.8575","5.00","1.00","1.00","1.00",
"8015001301","48554","NAKHONSI THAMMARAT AGROMET.","8.3593055555556","100","1.81","10.80","3.02",".90",
"8101001201","48563","KRABI","8.1036111111111","98.975277777778","8.00","-9999","-9999","-9999",
"8103001201","48566","KO LANTA","7.5333333333333","99.05","2.00","1.00","5.50","1.80",
"8205001201","48561","TAKUA PA","8.6841666666667","98.252222222222","5.93","11.00","7.72","1.20",
"8301001201","48564","PHUKET","7.8833333333333","98.4","1.83","10.00","3.80","1.20",
"8303001501","48565","PHUKET AIRPORT","8.145","98.314444444444","5.86","10.15","8.66","1.20",
"8401001201","-9999","SURAT THANI AIRPORT","9.1355555555556","99.151944444444","5.00","-9999","-9999","-9999",
