stn_name,stncode,year,month,dday,maxtmp,mintmp,rain,sunshine,avgrh,evapor,meantemp
KALASIN,388401,1999,01,01,31.9,18.4,0,-9999,-9999,-9999,25.1
KALASIN,388401,1999,01,02,29.7,18,0,-9999,-9999,-9999,23.8
KALASIN,388401,1999,01,03,29.9,16.1,0,-9999,-9999,-9999,23
KALASIN,388401,1999,01,04,28.9,13.3,0,-9999,-9999,-9999,21.1
KALASIN,388401,1999,01,05,29,12.8,0,-9999,-9999,-9999,20.9
KALASIN,388401,1999,01,06,28.8,12.6,0,-9999,-9999,-9999,20.7
KALASIN,388401,1999,01,07,28.5,14.7,0,-9999,-9999,-9999,21.6
KALASIN,388401,1999,01,08,29,14.5,0,-9999,-9999,-9999,21.7
KALASIN,388401,1999,01,09,30.7,16.4,0,-9999,-9999,-9999,23.5
KALASIN,388401,1999,01,10,28,20,0,-9999,-9999,-9999,24
KALASIN,388401,1999,01,11,29.9,18.2,0,-9999,-9999,-9999,24
KALASIN,388401,1999,01,12,25.8,16.4,0,-9999,-9999,-9999,21.1
KALASIN,388401,1999,01,13,26.9,16.4,0,-9999,-9999,-9999,21.6
KALASIN,388401,1999,01,14,27.8,18.4,0,-9999,-9999,-9999,23.1
KALASIN,388401,1999,01,15,26,17.7,0,-9999,-9999,-9999,21.8
KALASIN,388401,1999,01,16,24.9,16.2,0,-9999,-9999,-9999,20.5
KALASIN,388401,1999,01,17,28.5,14.5,0,-9999,-9999,-9999,21.5
KALASIN,388401,1999,01,18,30.8,13.8,0,-9999,-9999,-9999,22.3
KALASIN,388401,1999,01,19,33.2,15.8,0,-9999,-9999,-9999,24.5
KALASIN,388401,1999,01,20,32,16.7,0,-9999,-9999,-9999,24.3
KALASIN,388401,1999,01,21,31.5,18,0,-9999,-9999,-9999,24.7
KALASIN,388401,1999,01,22,32.7,17.5,0,-9999,-9999,-9999,25.1
KALASIN,388401,1999,01,23,36,18.8,0,-9999,-9999,-9999,27.4
KALASIN,388401,1999,01,24,36.2,15.5,0,-9999,-9999,-9999,25.8
KALASIN,388401,1999,01,25,34.1,19.8,0,-9999,-9999,-9999,26.9
KALASIN,388401,1999,01,26,34.9,18.8,0,-9999,-9999,-9999,26.8
KALASIN,388401,1999,01,27,35.3,19.4,0,-9999,-9999,-9999,27.3
KALASIN,388401,1999,01,28,35,20.8,0,-9999,-9999,-9999,27.9
KALASIN,388401,1999,01,29,34.3,20.5,0,-9999,-9999,-9999,27.4
KALASIN,388401,1999,01,30,34.1,20.8,0,-9999,-9999,-9999,27.4
KALASIN,388401,1999,01,31,35.5,22.8,0,-9999,-9999,-9999,29.1
KALASIN,388401,1999,02,01,36.6,21.5,0,-9999,-9999,-9999,29
KALASIN,388401,1999,02,02,37.3,22,0,-9999,-9999,-9999,29.6
KALASIN,388401,1999,02,03,29,20.4,0,-9999,-9999,-9999,24.7
KALASIN,388401,1999,02,04,27.6,13.3,0,-9999,-9999,-9999,20.4
KALASIN,388401,1999,02,05,28.3,13.3,0,-9999,-9999,-9999,20.8
KALASIN,388401,1999,02,06,31.6,12.7,0,-9999,-9999,-9999,22.1
KALASIN,388401,1999,02,07,30.5,17.8,0,-9999,-9999,-9999,24.1
KALASIN,388401,1999,02,08,30.6,15.8,0,-9999,-9999,-9999,23.2
KALASIN,388401,1999,02,09,31.3,18,0,-9999,-9999,-9999,24.6
KALASIN,388401,1999,02,10,33.6,15.4,0,-9999,-9999,-9999,24.5
KALASIN,388401,1999,02,11,33.9,19.1,0,-9999,-9999,-9999,26.5
KALASIN,388401,1999,02,12,32.5,18.4,0,-9999,-9999,-9999,25.4
KALASIN,388401,1999,02,13,32,20,0,-9999,-9999,-9999,26
KALASIN,388401,1999,02,14,32.6,18.5,0,-9999,-9999,-9999,25.5
KALASIN,388401,1999,02,15,33.7,21,0,-9999,-9999,-9999,27.3
KALASIN,388401,1999,02,16,32.7,21.7,0,-9999,-9999,-9999,27.2
KALASIN,388401,1999,02,17,34.1,19.4,0,-9999,-9999,-9999,26.7
KALASIN,388401,1999,02,18,36.4,19.3,0,-9999,-9999,-9999,27.8
KALASIN,388401,1999,02,19,32.3,22.6,0,-9999,-9999,-9999,27.4
KALASIN,388401,1999,02,20,31.6,20.4,0,-9999,-9999,-9999,26
KALASIN,388401,1999,02,21,30.9,17.9,0,-9999,-9999,-9999,24.4
KALASIN,388401,1999,02,22,31.7,16.8,0,-9999,-9999,-9999,24.2
KALASIN,388401,1999,02,23,34.2,17.3,0,-9999,-9999,-9999,25.7
KALASIN,388401,1999,02,24,36.2,18.6,0,-9999,-9999,-9999,27.4
KALASIN,388401,1999,02,25,36.8,18.8,0,-9999,-9999,-9999,27.8
KALASIN,388401,1999,02,26,38.2,22.4,0,-9999,-9999,-9999,30.3
KALASIN,388401,1999,02,27,37.3,22.3,0,-9999,-9999,-9999,29.8
KALASIN,388401,1999,02,28,33.4,22.5,0,-9999,-9999,-9999,27.9
KALASIN,388401,1999,03,01,34.1,19.6,0,-9999,-9999,-9999,26.8
KALASIN,388401,1999,03,02,35.7,21.3,0,-9999,-9999,-9999,28.5
KALASIN,388401,1999,03,03,35.2,23.4,0,-9999,-9999,-9999,29.3
KALASIN,388401,1999,03,04,32.2,23.1,0.1,-9999,-9999,-9999,27.6
KALASIN,388401,1999,03,05,36.2,20.6,0,-9999,-9999,-9999,28.4
KALASIN,388401,1999,03,06,38.3,22.3,0,-9999,-9999,-9999,30.3
KALASIN,388401,1999,03,07,38.7,24.3,0,-9999,-9999,-9999,31.5
KALASIN,388401,1999,03,08,38.8,19.8,0,-9999,-9999,-9999,29.3
KALASIN,388401,1999,03,09,38.5,20,0,-9999,-9999,-9999,29.2
KALASIN,388401,1999,03,10,39.7,20.1,0,-9999,-9999,-9999,29.9
KALASIN,388401,1999,03,11,39.8,22,0,-9999,-9999,-9999,30.9
KALASIN,388401,1999,03,12,38.8,26.3,0,-9999,-9999,-9999,32.5
KALASIN,388401,1999,03,13,39.7,26.1,0,-9999,-9999,-9999,32.9
KALASIN,388401,1999,03,14,39.9,25.7,0,-9999,-9999,-9999,32.8
KALASIN,388401,1999,03,15,36.2,25,0.7,-9999,-9999,-9999,30.6
KALASIN,388401,1999,03,16,36,24.3,0,-9999,-9999,-9999,30.1
KALASIN,388401,1999,03,17,38.5,26.7,0,-9999,-9999,-9999,32.6
KALASIN,388401,1999,03,18,39,24.4,0,-9999,-9999,-9999,31.7
KALASIN,388401,1999,03,19,40.1,20.8,0,-9999,-9999,-9999,30.4
KALASIN,388401,1999,03,20,40,23.1,0,-9999,-9999,-9999,31.5
KALASIN,388401,1999,03,21,39.2,22.7,8.6,-9999,-9999,-9999,30.9
KALASIN,388401,1999,03,22,29.7,21.5,55.3,-9999,-9999,-9999,25.6
KALASIN,388401,1999,03,23,31.7,21.2,0,-9999,-9999,-9999,26.4
KALASIN,388401,1999,03,24,33.2,24,10.5,-9999,-9999,-9999,28.6
KALASIN,388401,1999,03,25,32,23.8,5.3,-9999,-9999,-9999,27.9
KALASIN,388401,1999,03,26,35.6,24,0,-9999,-9999,-9999,29.8
KALASIN,388401,1999,03,27,35.8,25,0,-9999,-9999,-9999,30.4
KALASIN,388401,1999,03,28,34.3,22.6,14.6,-9999,-9999,-9999,28.4
KALASIN,388401,1999,03,29,33.2,23.3,0.5,-9999,-9999,-9999,28.2
KALASIN,388401,1999,03,30,32.4,21.4,0,-9999,-9999,-9999,26.9
KALASIN,388401,1999,03,31,33.9,22,0,-9999,-9999,-9999,27.9
KALASIN,388401,1999,04,01,35.6,23.2,0,-9999,-9999,-9999,29.4
KALASIN,388401,1999,04,02,36.7,24.2,0,-9999,-9999,-9999,30.4
KALASIN,388401,1999,04,03,35.5,24.2,0,-9999,-9999,-9999,29.8
KALASIN,388401,1999,04,04,35.6,24,0,-9999,-9999,-9999,29.8
KALASIN,388401,1999,04,05,31.5,24.2,0,-9999,-9999,-9999,27.8
KALASIN,388401,1999,04,06,32.5,23.6,0,-9999,-9999,-9999,28
KALASIN,388401,1999,04,07,34.6,24.7,0,-9999,-9999,-9999,29.6
KALASIN,388401,1999,04,08,35,25,0,-9999,-9999,-9999,30
KALASIN,388401,1999,04,09,35.6,24.6,0,-9999,-9999,-9999,30.1
KALASIN,388401,1999,04,10,36,23.1,11.3,-9999,-9999,-9999,29.5
KALASIN,388401,1999,04,11,32.9,24.2,2.1,-9999,-9999,-9999,28.5
KALASIN,388401,1999,04,12,34.5,24,0,-9999,-9999,-9999,29.2
KALASIN,388401,1999,04,13,31.6,24.7,5.3,-9999,-9999,-9999,28.1
KALASIN,388401,1999,04,14,32.6,23.7,12.6,-9999,-9999,-9999,28.1
KALASIN,388401,1999,04,15,33.2,23.4,1,-9999,-9999,-9999,28.3
KALASIN,388401,1999,04,16,30,23,0.9,-9999,-9999,-9999,26.5
KALASIN,388401,1999,04,17,35.5,24.6,0,-9999,-9999,-9999,30
KALASIN,388401,1999,04,18,35,25.1,6.5,-9999,-9999,-9999,30
KALASIN,388401,1999,04,19,34.3,23.7,0,-9999,-9999,-9999,29
KALASIN,388401,1999,04,20,34.6,24.9,0.6,-9999,-9999,-9999,29.7
KALASIN,388401,1999,04,21,32.9,24.3,0,-9999,-9999,-9999,28.6
