YEAR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,
2009,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,2207.00,2073.00,2091.00,2109.00,2079.00,2150.00,0.00,2207.00,1805.00,2188.00,2381.00,1965.00,1653.00,2367.00,2398.00,2398.00,2168.00,2019.00,1286.00,2213.00,854.00,2061.00,1934.00,2358.00,2278.00,2205.00,2460.00,2232.00,2149.00,2596.00,2231.00,2494.00,2309.00,2391.00,2588.00,2427.00,1427.00,1783.00,2474.00,2328.00,2355.00,1956.00,1913.00,2183.00,1974.00,2323.00,1559.00,2101.00,2152.00,2595.00,2124.00,2473.00,2378.00,2503.00,2605.00,2069.00,1776.00,2175.00,1963.00,1724.00,2064.00,1866.00,2198.00,748.00,1301.00,2188.00,1910.00,2207.00,2015.00,2216.00,1083.00,1944.00,2277.00,2317.00,2095.00,2046.00,2368.00,1530.00,1796.00,1535.00,1231.00,1687.00,986.00,2309.00,2454.00,1807.00,1805.00,1998.00,1560.00,1692.00,1633.00,1588.00,1779.00,1225.00,1391.00,1371.00,2063.00,1717.00,1537.00,1784.00,1456.00,1102.00,819.00,1650.00,1384.00,2201.00,2119.00,1668.00,1568.00,1621.00,2192.00,1883.00,1800.00,1953.00,1648.00,1134.00,1718.00,1803.00,1269.00,1266.00,663.00,1696.00,1847.00,2357.00,2228.00,2126.00,2168.00,1333.00,1110.00,1749.00,2244.00,2119.00,1824.00,985.00,1311.00,1831.00,1594.00,2448.00,2240.00,1885.00,2031.00,699.00,1170.00,1030.00,1096.00,1397.00,1509.00,1233.00,1491.00,1280.00,745.00,1065.00,1694.00,1311.00,2152.00,1800.00,1748.00,1369.00,959.00,901.00,1615.00,1111.00,997.00,883.00,1971.00,1680.00,945.00,1244.00,778.00,1020.00,1694.00,2015.00,1609.00,1840.00,2222.00,2172.00,2186.00,1750.00,2339.00,2307.00,2464.00,1719.00,2442.00,2129.00,2028.00,2269.00,2564.00,1404.00,1333.00,1824.00,1553.00,1759.00,1615.00,1659.00,1448.00,1352.00,1358.00,1244.00,1309.00,1805.00,1983.00,1527.00,1921.00,1998.00,2073.00,1706.00,1628.00,1264.00,1700.00,2301.00,2055.00,2438.00,1589.00,1800.00,1478.00,1737.00,863.00,1782.00,1617.00,1462.00,923.00,750.00,1220.00,2016.00,2121.00,1500.00,1353.00,849.00,1509.00,1226.00,1655.00,939.00,704.00,1879.00,2274.00,1519.00,1665.00,2033.00,1189.00,1369.00,2003.00,1637.00,2076.00,519.00,1541.00,2092.00,2003.00,2032.00,1267.00,1961.00,1997.00,2045.00,1996.00,1825.00,655.00,1698.00,1926.00,1934.00,1870.00,1765.00,1948.00,1708.00,1849.00,1878.00,1848.00,1438.00,1283.00,1670.00,1771.00,1159.00,1858.00,1818.00,1722.00,1459.00,1895.00,1732.00,1875.00,1808.00,1732.00,1737.00,1764.00,1771.00,1636.00,1708.00,1696.00,1693.00,1735.00,1570.00,1645.00,1619.00,1645.00,-9999.00,-9999.00,1832.00,1647.00,1754.00,1528.00,1821.00,1777.00,1823.00,1275.00,1343.00,1876.00,1830.00,1858.00,1826.00,1709.00,1819.00,1792.00,1857.00,1772.00,1702.00,1847.00,
2010,1769.00,1635.00,1870.00,1724.00,1857.00,1575.00,1669.00,1527.00,1794.00,1863.00,1975.00,1664.00,1524.00,1606.00,1434.00,1682.00,1842.00,1845.00,1907.00,1441.00,1594.00,1540.00,1151.00,1799.00,1983.00,1746.00,1774.00,1815.00,1838.00,1712.00,1891.00,1811.00,1680.00,1905.00,2008.00,2030.00,2039.00,2132.00,1955.00,2169.00,2104.00,2098.00,2027.00,2050.00,2110.00,2103.00,2137.00,2102.00,2129.00,2018.00,1810.00,1887.00,2152.00,2283.00,2158.00,2108.00,2288.00,2265.00,1951.00,0.00,1879.00,2204.00,2383.00,2412.00,2401.00,2273.00,2039.00,2285.00,2211.00,640.00,1831.00,2143.00,2260.00,2407.00,2392.00,2228.00,1903.00,1883.00,2082.00,2169.00,2136.00,2047.00,2363.00,2394.00,2205.00,700.00,2143.00,2151.00,1933.00,2194.00,2181.00,2218.00,2328.00,2407.00,2362.00,2414.00,2514.00,2548.00,2461.00,1909.00,2237.00,2319.00,2556.00,2542.00,2402.00,2473.00,2141.00,1037.00,1769.00,2382.00,2418.00,2456.00,2480.00,2434.00,1029.00,2497.00,2348.00,2173.00,2137.00,2009.00,2578.00,2511.00,2057.00,2536.00,2080.00,2461.00,2362.00,2548.00,2340.00,2441.00,2298.00,2309.00,922.00,2060.00,2315.00,2325.00,1667.00,2262.00,1733.00,2116.00,2026.00,2358.00,1882.00,2403.00,2316.00,1988.00,916.00,1723.00,1720.00,1544.00,2023.00,1873.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,1978.00,2531.00,1821.00,1612.00,1347.00,1883.00,1915.00,1763.00,1033.00,1566.00,1512.00,2348.00,2387.00,2537.00,2370.00,1903.00,2405.00,1900.00,2498.00,2120.00,2033.00,1860.00,1558.00,1797.00,1330.00,1254.00,1924.00,2397.00,1731.00,1222.00,1257.00,1357.00,1496.00,1366.00,1759.00,2000.00,1614.00,1934.00,2134.00,888.00,1395.00,1269.00,1147.00,1054.00,1754.00,1828.00,1667.00,1822.00,1227.00,1740.00,1620.00,1000.00,2230.00,2238.00,1770.00,1950.00,2331.00,752.00,856.00,1395.00,1826.00,1707.00,1728.00,1930.00,2240.00,888.00,939.00,1273.00,1468.00,2151.00,1726.00,1106.00,910.00,2296.00,1639.00,2413.00,2423.00,2225.00,1423.00,1645.00,1866.00,2073.00,1321.00,1542.00,2146.00,2041.00,1407.00,2078.00,2411.00,2429.00,2095.00,2416.00,2275.00,2399.00,1722.00,1038.00,1234.00,1013.00,2371.00,1955.00,656.00,722.00,1572.00,728.00,1188.00,1902.00,2242.00,1910.00,1877.00,924.00,986.00,1432.00,1070.00,968.00,1292.00,1000.00,1623.00,2100.00,1723.00,1462.00,1520.00,2181.00,1809.00,1811.00,1872.00,1211.00,625.00,2080.00,1352.00,1363.00,953.00,1333.00,1408.00,1713.00,1569.00,1737.00,1667.00,1689.00,1475.00,1271.00,805.00,1175.00,1380.00,1876.00,1313.00,1727.00,1582.00,1181.00,1587.00,1449.00,1857.00,1904.00,1867.00,1763.00,1697.00,1814.00,1770.00,1664.00,1765.00,1120.00,1090.00,1608.00,1316.00,1542.00,1558.00,973.00,1008.00,1524.00,1702.00,1668.00,1668.00,1661.00,1837.00,1566.00,1828.00,1278.00,588.00,1828.00,1542.00,1608.00,1565.00,1653.00,1769.00,1809.00,1619.00,1237.00,1361.00,1812.00,1699.00,1770.00,1731.00,
2011,1796.00,1734.00,1678.00,1715.00,1454.00,967.00,1464.00,1711.00,1810.00,1743.00,1449.00,1237.00,1780.00,1588.00,1476.00,1680.00,1594.00,1757.00,1698.00,1826.00,1750.00,1641.00,1431.00,1601.00,1693.00,1745.00,1636.00,1650.00,1644.00,1655.00,1775.00,1694.00,1711.00,1729.00,1658.00,1781.00,1794.00,1819.00,1997.00,2103.00,2056.00,1919.00,1777.00,1808.00,1808.00,1856.00,2045.00,1994.00,2070.00,2029.00,2053.00,1676.00,2049.00,1882.00,1184.00,1792.00,1415.00,1261.00,2023.00,0.00,1977.00,2076.00,2123.00,666.00,1846.00,2097.00,2031.00,1003.00,820.00,660.00,1887.00,1909.00,1679.00,2162.00,2175.00,552.00,928.00,2256.00,2359.00,2487.00,2389.00,1922.00,424.00,1128.00,401.00,1221.00,990.00,527.00,826.00,991.00,939.00,1644.00,2096.00,2002.00,1871.00,2170.00,2093.00,2318.00,2222.00,1713.00,1791.00,2249.00,1826.00,2103.00,2395.00,2447.00,2521.00,2267.00,2007.00,1815.00,2286.00,2390.00,2140.00,2213.00,2109.00,1682.00,2110.00,2065.00,2434.00,2177.00,2388.00,1687.00,2472.00,1824.00,1629.00,1863.00,1818.00,2228.00,2008.00,2018.00,1189.00,1755.00,2046.00,1580.00,1250.00,2041.00,2261.00,2429.00,888.00,1950.00,2321.00,2356.00,1783.00,2161.00,1658.00,1910.00,2381.00,1663.00,1396.00,2336.00,2152.00,2030.00,2506.00,2327.00,1530.00,1486.00,2072.00,1274.00,1248.00,2054.00,1635.00,1400.00,1807.00,1637.00,777.00,1194.00,1427.00,1562.00,605.00,1035.00,1243.00,930.00,1642.00,2041.00,2271.00,1625.00,1619.00,1567.00,875.00,1693.00,1606.00,1198.00,977.00,1465.00,1314.00,1757.00,2312.00,2438.00,2543.00,2289.00,1807.00,1630.00,1874.00,1821.00,1373.00,1806.00,1108.00,1372.00,1859.00,1787.00,1380.00,1508.00,820.00,1043.00,1689.00,1799.00,1613.00,2034.00,1835.00,2050.00,1804.00,478.00,705.00,712.00,1714.00,1861.00,2355.00,2506.00,2087.00,1928.00,1818.00,1585.00,930.00,1353.00,1932.00,2182.00,1517.00,1215.00,1265.00,1412.00,1752.00,1175.00,1624.00,1517.00,2319.00,1936.00,2457.00,1917.00,1392.00,1647.00,1450.00,1106.00,1199.00,1801.00,1639.00,1421.00,1815.00,2018.00,1100.00,1520.00,1392.00,1193.00,1390.00,1395.00,826.00,1775.00,1918.00,1643.00,1012.00,1697.00,1382.00,1556.00,1898.00,1132.00,997.00,909.00,1257.00,1179.00,1440.00,1990.00,1247.00,1262.00,1746.00,1700.00,1405.00,1122.00,1289.00,1020.00,1765.00,1113.00,1774.00,2189.00,1839.00,612.00,1770.00,2215.00,1275.00,1242.00,1208.00,2203.00,1058.00,1559.00,2179.00,1478.00,1503.00,1927.00,1577.00,2008.00,2056.00,1976.00,1758.00,1563.00,2084.00,1569.00,2088.00,2006.00,2040.00,2034.00,1755.00,1691.00,1418.00,1781.00,1400.00,1442.00,1818.00,1462.00,1736.00,563.00,1122.00,1446.00,1872.00,1840.00,1844.00,1865.00,1760.00,1771.00,1761.00,1776.00,1572.00,1727.00,1765.00,1786.00,1833.00,1650.00,1767.00,1719.00,1678.00,1357.00,1170.00,977.00,1622.00,1627.00,718.00,674.00,1690.00,1561.00,1655.00,1549.00,1228.00,1156.00,1256.00,1251.00,1653.00,1556.00,1614.00,1553.00,1050.00,1499.00,1435.00,1492.00,1530.00,1598.00,1646.00,1676.00,1696.00,1661.00,
2012,1251.00,660.00,657.00,1462.00,1583.00,1744.00,1745.00,1849.00,1803.00,1693.00,1458.00,970.00,1265.00,1462.00,1022.00,1625.00,1545.00,1891.00,1242.00,1836.00,1750.00,1996.00,1899.00,1931.00,1784.00,1826.00,1209.00,1438.00,1597.00,723.00,618.00,1740.00,753.00,1789.00,1774.00,1846.00,1889.00,2060.00,2116.00,1733.00,1965.00,1944.00,1912.00,1935.00,1851.00,1844.00,1908.00,1574.00,370.00,1184.00,1965.00,2117.00,2116.00,1935.00,2187.00,2278.00,2156.00,1893.00,2086.00,2222.00,2153.00,2118.00,1944.00,2382.00,2301.00,2441.00,2354.00,1533.00,2281.00,2017.00,994.00,1373.00,2194.00,2037.00,1806.00,2236.00,2213.00,1976.00,2262.00,2395.00,2496.00,2351.00,2373.00,1868.00,1463.00,1863.00,1772.00,1967.00,2115.00,1744.00,1723.00,1028.00,1923.00,2091.00,1630.00,1595.00,1672.00,1647.00,2477.00,1955.00,2100.00,1940.00,2076.00,2122.00,2394.00,1892.00,2155.00,2311.00,2253.00,2114.00,2040.00,2096.00,2414.00,2370.00,2336.00,2482.00,2296.00,2258.00,2125.00,2517.00,2205.00,1825.00,1640.00,1838.00,1857.00,1005.00,1281.00,1654.00,1366.00,1666.00,1834.00,2410.00,1772.00,1720.00,2080.00,2096.00,1436.00,1643.00,1934.00,1948.00,2049.00,1637.00,1941.00,1329.00,1544.00,1500.00,1434.00,1716.00,1336.00,1530.00,1245.00,1618.00,1609.00,1119.00,1547.00,1842.00,2074.00,1534.00,1758.00,1870.00,1669.00,1674.00,2118.00,1489.00,1601.00,1570.00,1441.00,1253.00,1033.00,1639.00,1942.00,1601.00,1357.00,1935.00,1866.00,1808.00,1744.00,1463.00,1112.00,1281.00,1737.00,1023.00,1213.00,1678.00,1249.00,1491.00,1776.00,1049.00,1495.00,1778.00,1452.00,2091.00,2137.00,632.00,1470.00,2232.00,1799.00,2213.00,2063.00,800.00,1150.00,905.00,2368.00,2238.00,1917.00,1461.00,1004.00,1179.00,1031.00,1209.00,1537.00,1033.00,1008.00,1079.00,1077.00,1129.00,1536.00,2316.00,1988.00,1127.00,1307.00,1237.00,1688.00,2022.00,1704.00,1249.00,1580.00,1482.00,1576.00,1169.00,1799.00,1966.00,1623.00,1933.00,1705.00,1771.00,2027.00,1547.00,1373.00,1684.00,1798.00,1514.00,1409.00,945.00,889.00,928.00,1049.00,1527.00,1831.00,400.00,1123.00,2278.00,2048.00,2226.00,2210.00,2031.00,1754.00,1726.00,569.00,1005.00,1765.00,2033.00,1563.00,1648.00,1194.00,1553.00,1963.00,1499.00,1591.00,1755.00,1628.00,1194.00,836.00,1365.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,
