YEAR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,
2009,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,2543.00,2538.00,2633.00,2596.00,1570.00,-9999.00,-9999.00,-9999.00,1924.00,1831.00,1882.00,2599.00,2549.00,2604.00,2448.00,2523.00,2664.00,2307.00,2303.00,2224.00,1811.00,1987.00,2422.00,1974.00,1633.00,2032.00,-9999.00,2512.00,2587.00,1731.00,2394.00,2103.00,1785.00,2403.00,1953.00,2380.00,2424.00,2167.00,-9999.00,1766.00,2224.00,2291.00,1935.00,1687.00,2027.00,1669.00,2037.00,2046.00,2060.00,2330.00,2554.00,-9999.00,2273.00,2622.00,2325.00,2246.00,2670.00,1633.00,2019.00,2561.00,2465.00,1853.00,2504.00,2436.00,2339.00,2375.00,2405.00,2333.00,1971.00,1478.00,-9999.00,1927.00,1896.00,1901.00,2404.00,2645.00,2427.00,1806.00,2007.00,2035.00,1686.00,1968.00,2250.00,-9999.00,2250.00,-9999.00,2280.00,-9999.00,2095.00,1441.00,2173.00,1608.00,-9999.00,1506.00,-9999.00,2135.00,-9999.00,1577.00,2300.00,1926.00,1817.00,2223.00,2136.00,2357.00,2545.00,2507.00,2558.00,1994.00,2341.00,2501.00,2447.00,2484.00,2130.00,1709.00,1883.00,-9999.00,1489.00,2390.00,1915.00,2221.00,2477.00,2518.00,2117.00,2044.00,2211.00,1415.00,1986.00,1551.00,1940.00,2058.00,2493.00,1663.00,2142.00,1497.00,2254.00,2457.00,2280.00,1884.00,1980.00,-9999.00,1542.00,2208.00,1929.00,-9999.00,1785.00,2011.00,2438.00,2036.00,1384.00,-9999.00,1846.00,1747.00,2312.00,1985.00,1897.00,1866.00,2472.00,2268.00,2421.00,1583.00,2201.00,2206.00,2296.00,1250.00,1295.00,1540.00,1556.00,1985.00,1757.00,1316.00,1886.00,1992.00,1924.00,2164.00,2211.00,2480.00,1938.00,1881.00,2097.00,1639.00,2122.00,2170.00,1417.00,2237.00,1715.00,1357.00,1657.00,1994.00,1326.00,1704.00,-9999.00,1686.00,-9999.00,2296.00,-9999.00,2110.00,2168.00,2015.00,1485.00,2081.00,2269.00,1617.00,1764.00,1837.00,2183.00,1731.00,2173.00,2390.00,1845.00,2119.00,2401.00,1996.00,2415.00,1592.00,1361.00,1719.00,1880.00,1846.00,2051.00,1366.00,1583.00,2201.00,2206.00,2296.00,1250.00,1295.00,1540.00,1556.00,1985.00,1757.00,1316.00,1886.00,1992.00,1924.00,2164.00,2211.00,2480.00,1938.00,1881.00,2097.00,1639.00,2122.00,2170.00,1417.00,2237.00,1715.00,1357.00,1657.00,1994.00,1326.00,1704.00,2001.00,2020.00,1505.00,-9999.00,1464.00,-9999.00,1557.00,2196.00,2108.00,1309.00,2187.00,2336.00,2238.00,1882.00,1573.00,2128.00,1939.00,-9999.00,1323.00,-9999.00,-9999.00,-9999.00,-9999.00,1167.00,1314.00,1931.00,1896.00,1702.00,1845.00,1590.00,-9999.00,-9999.00,2040.00,-9999.00,1864.00,2022.00,1493.00,2234.00,2172.00,2174.00,1932.00,2173.00,1956.00,1880.00,2235.00,1690.00,1690.00,-9999.00,1503.00,1607.00,2048.00,1589.00,1601.00,2072.00,2027.00,1977.00,1928.00,2124.00,2157.00,2185.00,2128.00,
2010,1486.00,1385.00,962.00,2023.00,981.00,2156.00,809.00,1674.00,1893.00,1878.00,2095.00,2080.00,2065.00,1481.00,1980.00,1900.00,1879.00,2210.00,1928.00,2067.00,1778.00,2127.00,2104.00,2259.00,2326.00,1484.00,1962.00,2216.00,2199.00,2412.00,2327.00,2384.00,2411.00,1896.00,2020.00,2369.00,2441.00,2254.00,2371.00,2030.00,1919.00,2101.00,2209.00,2127.00,2321.00,2442.00,2408.00,2146.00,2193.00,2463.00,2563.00,2465.00,2312.00,2432.00,2201.00,2261.00,2451.00,2025.00,2581.00,-9999.00,2501.00,2262.00,2572.00,2548.00,2647.00,2582.00,2581.00,2630.00,2577.00,2438.00,2360.00,2377.00,2524.00,2591.00,2590.00,2457.00,2211.00,2214.00,2451.00,2599.00,2554.00,2444.00,2404.00,2596.00,2721.00,2434.00,2198.00,2219.00,2105.00,2369.00,2327.00,2135.00,2453.00,2524.00,2680.00,2342.00,2652.00,2598.00,2401.00,2668.00,2386.00,2640.00,2576.00,2515.00,2640.00,2653.00,2505.00,2132.00,2613.00,2504.00,2461.00,2701.00,2522.00,2623.00,2608.00,1961.00,1944.00,1761.00,2128.00,1865.00,2651.00,2374.00,2635.00,2600.00,2511.00,2569.00,2580.00,2644.00,2313.00,2464.00,2155.00,2501.00,1878.00,1668.00,2502.00,2035.00,2152.00,2327.00,1447.00,1324.00,2548.00,2118.00,734.00,2140.00,2300.00,2304.00,1952.00,2350.00,1997.00,2393.00,2223.00,2202.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,1635.00,1509.00,2030.00,1775.00,1251.00,2002.00,2300.00,1814.00,1482.00,1741.00,1749.00,2222.00,1577.00,1768.00,2517.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,760.00,1347.00,1482.00,355.00,771.00,1458.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,1969.00,1970.00,1648.00,780.00,275.00,797.00,414.00,
2011,1518.00,2029.00,1590.00,1997.00,971.00,414.00,1453.00,1695.00,2006.00,2053.00,1844.00,1952.00,1484.00,1964.00,1906.00,1970.00,1411.00,1840.00,2118.00,2008.00,2250.00,2268.00,2071.00,2203.00,2123.00,1118.00,1626.00,1825.00,1844.00,1881.00,1858.00,2034.00,2180.00,1941.00,1821.00,2224.00,2313.00,2211.00,2205.00,2096.00,2147.00,1697.00,1760.00,2281.00,2239.00,1918.00,2060.00,2371.00,2333.00,2320.00,2004.00,1024.00,2105.00,2280.00,1573.00,2173.00,2327.00,1918.00,2373.00,-9999.00,1918.00,2045.00,2369.00,2406.00,2354.00,2240.00,2338.00,1479.00,1324.00,2095.00,1992.00,569.00,1225.00,2508.00,2431.00,2205.00,2493.00,2212.00,2142.00,1436.00,1191.00,2165.00,638.00,506.00,1177.00,553.00,1741.00,1484.00,504.00,905.00,1753.00,618.00,1158.00,2148.00,2364.00,2174.00,2581.00,2457.00,2396.00,2163.00,1867.00,2440.00,2504.00,2539.00,2511.00,2513.00,2631.00,2515.00,2015.00,2004.00,2528.00,2605.00,2534.00,2477.00,2470.00,2534.00,2531.00,2228.00,2490.00,1591.00,1966.00,2299.00,2112.00,2256.00,2385.00,1696.00,2274.00,1958.00,1572.00,2090.00,1096.00,1711.00,1505.00,2406.00,2082.00,2324.00,2374.00,1549.00,1909.00,1219.00,2104.00,1387.00,2218.00,1946.00,2160.00,1960.00,1609.00,2052.00,2221.00,2358.00,2020.00,1089.00,1584.00,1627.00,1944.00,2042.00,2041.00,1992.00,1627.00,2027.00,1694.00,1429.00,1813.00,648.00,1546.00,1353.00,865.00,1186.00,2146.00,1843.00,1723.00,1685.00,1869.00,1947.00,1831.00,2161.00,2213.00,1829.00,1843.00,2143.00,979.00,1989.00,631.00,1644.00,1014.00,2377.00,1890.00,1961.00,1118.00,1909.00,2335.00,2172.00,2059.00,1405.00,1942.00,1797.00,1801.00,1566.00,2133.00,1939.00,1659.00,1927.00,1790.00,1082.00,2299.00,995.00,1526.00,1911.00,1438.00,790.00,1246.00,1506.00,1699.00,1495.00,1551.00,1517.00,2349.00,2401.00,2233.00,1947.00,2321.00,2023.00,1317.00,-9999.00,-9999.00,-9999.00,-9999.00,1422.00,2093.00,2369.00,1936.00,1753.00,1453.00,2447.00,1809.00,2312.00,1642.00,1211.00,1702.00,624.00,1124.00,777.00,1979.00,2067.00,1911.00,2239.00,1828.00,1896.00,2098.00,1826.00,1785.00,1904.00,1860.00,1520.00,301.00,1385.00,2093.00,2096.00,1942.00,1454.00,2291.00,1883.00,2002.00,1143.00,1315.00,1223.00,1948.00,1816.00,1390.00,1901.00,1697.00,1185.00,1475.00,1077.00,1556.00,1893.00,1659.00,1607.00,1261.00,1429.00,2102.00,1705.00,1950.00,1831.00,1868.00,1872.00,1374.00,-9999.00,-9999.00,-9999.00,-9999.00,613.00,1628.00,1127.00,1009.00,977.00,2347.00,1909.00,1791.00,1896.00,1093.00,1129.00,919.00,228.00,397.00,1889.00,1601.00,1843.00,1308.00,1578.00,1468.00,1525.00,1634.00,2108.00,2260.00,1984.00,1462.00,2160.00,1175.00,1243.00,1088.00,1591.00,2030.00,1337.00,2123.00,128.00,719.00,432.00,962.00,1182.00,1633.00,1668.00,1663.00,1877.00,1924.00,2004.00,1100.00,1806.00,1232.00,1253.00,940.00,2025.00,1349.00,1243.00,1453.00,432.00,276.00,1030.00,1165.00,223.00,344.00,1184.00,587.00,1624.00,1758.00,579.00,1428.00,1506.00,1083.00,1407.00,1152.00,925.00,1213.00,888.00,741.00,745.00,
2012,189.00,1800.00,1413.00,2159.00,2054.00,2085.00,1437.00,1046.00,989.00,844.00,578.00,263.00,444.00,713.00,1366.00,2044.00,1667.00,1905.00,1934.00,1412.00,1860.00,1898.00,2174.00,1952.00,1922.00,2109.00,2225.00,1272.00,1871.00,2058.00,938.00,2041.00,1836.00,2067.00,1972.00,2251.00,2125.00,2329.00,2216.00,1959.00,2049.00,2154.00,2010.00,2212.00,2136.00,2232.00,2064.00,2131.00,1807.00,2330.00,1879.00,2250.00,2401.00,2363.00,2344.00,2454.00,2418.00,2426.00,2296.00,2240.00,2329.00,993.00,1188.00,2023.00,2279.00,2432.00,2473.00,1189.00,1971.00,2413.00,2334.00,1879.00,2050.00,2067.00,1992.00,2488.00,2233.00,2287.00,2446.00,1892.00,2266.00,2331.00,2490.00,2395.00,2457.00,2435.00,2223.00,2122.00,2205.00,1966.00,1611.00,1922.00,1251.00,2243.00,2247.00,2327.00,2060.00,2212.00,1836.00,2330.00,2112.00,2520.00,2211.00,2327.00,2142.00,2060.00,1486.00,2433.00,2209.00,1695.00,2271.00,2201.00,2190.00,2274.00,2243.00,2002.00,1843.00,2065.00,1776.00,1577.00,1728.00,2479.00,2435.00,1607.00,2159.00,1669.00,1692.00,2232.00,1843.00,2054.00,2298.00,1643.00,1486.00,2094.00,2421.00,2114.00,1121.00,1654.00,1858.00,2104.00,2420.00,2168.00,2295.00,2293.00,2132.00,838.00,2082.00,1784.00,1209.00,2125.00,2020.00,2072.00,2033.00,1567.00,2208.00,1632.00,996.00,1117.00,549.00,1269.00,1356.00,1594.00,2049.00,2117.00,2249.00,2364.00,2350.00,2304.00,1799.00,1826.00,2059.00,2207.00,2124.00,2157.00,1625.00,2124.00,1615.00,2331.00,2324.00,2201.00,2334.00,2198.00,1069.00,951.00,1773.00,2006.00,1426.00,1579.00,1535.00,2026.00,2000.00,2110.00,2134.00,1918.00,1652.00,784.00,2184.00,2048.00,1887.00,1460.00,1594.00,1982.00,1800.00,2177.00,2243.00,1499.00,1663.00,1718.00,1338.00,1751.00,1617.00,2293.00,2220.00,1773.00,2044.00,1655.00,2441.00,2070.00,2305.00,2401.00,2203.00,1678.00,1658.00,2054.00,1556.00,2257.00,2462.00,2493.00,2252.00,1395.00,1640.00,2165.00,1873.00,1761.00,1748.00,1824.00,1671.00,1989.00,1443.00,1587.00,1156.00,1557.00,2456.00,2219.00,1623.00,2040.00,2450.00,2114.00,981.00,1188.00,1837.00,1921.00,2442.00,1917.00,2292.00,1511.00,1357.00,765.00,1227.00,1862.00,2166.00,2439.00,1824.00,1897.00,1800.00,2444.00,2394.00,1632.00,1295.00,1440.00,806.00,978.00,2028.00,1569.00,1571.00,2051.00,2179.00,1895.00,1185.00,2231.00,1006.00,2472.00,2128.00,1939.00,2421.00,2049.00,2170.00,1725.00,985.00,1575.00,2061.00,577.00,655.00,976.00,1318.00,776.00,605.00,1148.00,1919.00,2283.00,2379.00,2233.00,2160.00,2248.00,1987.00,1848.00,1906.00,1977.00,1728.00,1070.00,2275.00,2276.00,1776.00,2229.00,2051.00,1472.00,1842.00,1814.00,2025.00,1676.00,1906.00,1832.00,2030.00,990.00,1961.00,1434.00,1823.00,1412.00,698.00,1610.00,1344.00,520.00,1356.00,1790.00,1986.00,1560.00,1442.00,2053.00,1745.00,1780.00,2113.00,1892.00,2001.00,2053.00,1785.00,1595.00,2099.00,467.00,835.00,450.00,994.00,1018.00,1536.00,1568.00,544.00,796.00,758.00,1066.00,1309.00,624.00,1886.00,1972.00,1781.00,1929.00,799.00,395.00,
2013,1560.00,1442.00,420.00,1846.00,2024.00,1320.00,1414.00,985.00,843.00,1986.00,2052.00,2075.00,1982.00,2124.00,1869.00,1982.00,1867.00,1160.00,1022.00,1796.00,2012.00,1879.00,2024.00,1954.00,1694.00,2278.00,2266.00,2133.00,2195.00,2001.00,1662.00,2197.00,2167.00,1304.00,1935.00,2140.00,1962.00,2205.00,2129.00,2248.00,2238.00,2210.00,349.00,2087.00,2310.00,2185.00,2097.00,2002.00,2037.00,2294.00,2208.00,2091.00,1397.00,1131.00,590.00,827.00,660.00,1565.00,2423.00,-9999.00,1474.00,2344.00,1979.00,2245.00,1678.00,2302.00,2095.00,2126.00,2316.00,1880.00,2389.00,2406.00,2332.00,2306.00,2343.00,2266.00,2563.00,2554.00,2544.00,2590.00,2475.00,2324.00,1997.00,2555.00,2419.00,2386.00,1892.00,2405.00,2497.00,2584.00,2265.00,2395.00,2238.00,1776.00,2331.00,2085.00,2032.00,1988.00,2143.00,1736.00,546.00,1739.00,1418.00,758.00,666.00,2112.00,2020.00,276.00,2392.00,2336.00,2273.00,2058.00,2409.00,2438.00,2356.00,2260.00,2376.00,1831.00,2495.00,2302.00,2200.00,1709.00,2482.00,1694.00,2179.00,1554.00,868.00,1787.00,2050.00,2322.00,1981.00,1625.00,1355.00,2062.00,2154.00,2021.00,2347.00,1762.00,2150.00,1856.00,1674.00,2133.00,2498.00,1750.00,1412.00,2209.00,1920.00,2359.00,1872.00,2349.00,1631.00,1670.00,1235.00,1932.00,2209.00,2161.00,1828.00,1938.00,920.00,2343.00,2189.00,2095.00,1710.00,1231.00,477.00,1379.00,1061.00,1036.00,2201.00,1411.00,2093.00,2029.00,1970.00,1807.00,1723.00,1899.00,1582.00,2106.00,1986.00,2007.00,2218.00,2278.00,1843.00,1349.00,1790.00,1333.00,1351.00,1084.00,884.00,785.00,1705.00,1751.00,1896.00,2258.00,1915.00,1258.00,679.00,864.00,1890.00,2237.00,971.00,1793.00,1541.00,1814.00,1480.00,1816.00,2230.00,1970.00,2145.00,2050.00,1272.00,2198.00,1968.00,1088.00,756.00,1479.00,2041.00,1695.00,1707.00,1872.00,1369.00,1740.00,1152.00,2277.00,1434.00,1448.00,1815.00,1522.00,2322.00,2238.00,2452.00,2455.00,2278.00,2482.00,2085.00,2103.00,1942.00,1827.00,1935.00,1540.00,1188.00,1839.00,1990.00,2068.00,2111.00,2249.00,2022.00,2361.00,1764.00,1792.00,1542.00,1972.00,1699.00,905.00,1414.00,1268.00,1648.00,1708.00,2432.00,2129.00,1594.00,1544.00,1162.00,1609.00,1965.00,2106.00,1856.00,2228.00,1978.00,2264.00,1616.00,1478.00,1414.00,914.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,
