*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      DEC 02, 2018; 12:33:06
                                                                                
*RUN   1        : 86_01                     RICER046 SSKT0001    1              
 MODEL          : RICER046 - Rice                                               
 EXPERIMENT     : SSKT0001 RI mulation, Thailand                                
 DATA PATH      : C:\DSSAT46\Rice\                                              
 TREATMENT  1   : 86_01                     RICER046                            
  
!YR        Days  Days              Leaf  <--------- Dry Weight -----------> Grain Kernl              <------ Stress (0-1) ------>   Leaf  Shell  Spec  <-Canopy->  Root  <-- Root Length Density ---><Senesced Mat>   Phot  
!  and    after after  Leaf  Grow  Area  <------------ kg/Ha ------------->   per  wght  Harv Tillr  <--- Water ---->                Nit   -ing  Leaf  Hght Brdth Depth  <---- cm3/cm3 of soil -----> <--(kg/ha)-->  Therm  
!     DOY start plant   Num Stage Index  Leaf  Stem Grain  Root Panic  Crop    m2    mg  Indx   No.  Phot  Grow  Excs  Nitr Potas     %      %   Area    m     m     m    0-5  5-15 15-30 30-4242-100   Surf   Soil   Days  
@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  EWAD  CWAD  G#AD  GWGD  HIAD  T#AD  WSPD  WSGD  EWSD  NSTD  KSTD   LN%D   SH%D  SLAD  CHTD  CWID  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  SNW0C  SNW1C   DTTD  
 1986 234    56    21  12.0     2  1.03   773   535     0   424     0  1308     0   0.0 0.000   263 0.000 0.000 0.000 0.376 0.000   2.40   0.00 132.7  0.00  0.00  0.71  3.58  0.84  0.26  0.30  0.24     10    250  19.55
 1986 235    57    22  12.0     2  1.04   790   569     0   432     0  1359     0   0.0 0.000   265 0.000 0.000 0.000 0.416 0.000   2.33   0.00 131.3  0.00  0.00  0.74  3.60  0.88  0.28  0.32  0.26     12    250  19.45
 1986 236    58    23  12.0     2  1.06   814   624     0   448     0  1438     0   0.0 0.000   269 0.000 0.000 0.000 0.448 0.000   2.22   0.00 130.3  0.00  0.00  0.78  3.61  0.91  0.29  0.33  0.28     15    250  20.35
 1986 237    59    24  12.0     2  1.06   826   656     0   454     0  1482     0   0.0 0.000   271 0.000 0.000 0.000 0.498 0.000   2.17   0.00 128.8  0.00  0.00  0.82  3.65  0.95  0.30  0.35  0.30     18    250  18.30
 1986 238    60    25  13.0     2  1.07   842   699     0   465     0  1541     0   0.0 0.000   273 0.000 0.000 0.000 0.520 0.000   2.10   0.00 127.4  0.00  0.00  0.85  3.66  0.97  0.31  0.36  0.31     22    250  17.65
 1986 239    61    26  13.0     2  1.08   857   744     0   475     0  1601     0   0.0 0.000   275 0.000 0.000 0.000 0.550 0.000   2.07   0.00 126.0  0.00  0.00  0.88  3.69  1.00  0.32  0.37  0.32     27    250  18.70
 1986 240    62    27  13.0     2  1.08   871   788     0   485     0  1659     0   0.0 0.000   277 0.000 0.000 0.000 0.561 0.000   2.02   0.00 124.5  0.00  0.00  0.91  3.70  1.03  0.33  0.37  0.33     31    250  19.20
 1986 241    63    28  13.0     2  1.08   881   821     0   491     0  1702     0   0.0 0.000   278 0.000 0.000 0.000 0.584 0.000   1.98   0.00 122.9  0.00  0.00  0.95  3.72  1.06  0.33  0.38  0.34     36    250  18.30
 1986 242    64    29  13.0     2  1.09   895   869     0   502     0  1764     0   0.0 0.000   280 0.000 0.000 0.000 0.597 0.000   1.93   0.00 121.5  0.00  0.00  0.98  3.73  1.08  0.34  0.39  0.35     42    250  20.50
 1986 243    65    30  13.0     2  1.09   908   920     0   513     0  1828     0   0.0 0.000   282 0.000 0.000 0.000 0.619 0.000   1.88   0.00 120.0  0.00  0.00  1.00  3.75  1.11  0.35  0.40  0.36     48    250  19.95
 1986 244    66    31  14.0     2  1.09   919   967     0   522     0  1886     0   0.0 0.000   283 0.000 0.000 0.000 0.644 0.000   1.86   0.00 118.5  0.00  0.00  1.00  3.79  1.14  0.35  0.41  0.37     55    250  18.95
 1986 245    67    32  14.0     2  1.08   928  1002     0   528     0  1929     0   0.0 0.000   284 0.000 0.000 0.000 0.651 0.000   1.83   0.00 116.8  0.00  0.00  1.00  3.80  1.17  0.36  0.42  0.38     62    250  18.30
 1986 246    68    33  14.0     2  1.08   937  1042     0   535     0  1979     0   0.0 0.000   285 0.000 0.000 0.000 0.661 0.000   1.80   0.00 115.1  0.00  0.00  1.00  3.81  1.19  0.36  0.42  0.39     70    250  20.70
 1986 247    69    34  14.0     2  1.07   944  1075     0   540     0  2019     0   0.0 0.000   286 0.000 0.000 0.000 0.673 0.000   1.78   0.00 113.4  0.00  0.00  1.00  3.83  1.21  0.37  0.43  0.39     78    250  18.75
 1986 248    70    35  14.0     2  1.06   950  1103     0   543     0  2052     0   0.0 0.000   287 0.000 0.000 0.000 0.680 0.000   1.77   0.00 111.6  0.00  0.00  1.00  3.84  1.23  0.37  0.43  0.40     87    250  17.80
 1986 249    71    36  14.0     2  1.05   956  1132     0   547     0  2088     0   0.0 0.000   288 0.000 0.000 0.000 0.683 0.000   1.78   0.00 109.8  0.00  0.00  1.00  3.85  1.24  0.37  0.44  0.40     96    250  19.10
 1986 250    72    37  14.0     2  1.04   962  1162     0   550     0  2124     0   0.0 0.000   288 0.000 0.000 0.000 0.676 0.000   1.77   0.00 108.0  0.00  0.00  1.00  3.85  1.26  0.38  0.44  0.41    106    250  18.40
 1986 251    73    38  15.0     2  1.03   968  1192     0   554     0  2160     0   0.0 0.000   289 0.000 0.000 0.000 0.680 0.000   1.76   0.00 106.2  0.00  0.00  1.00  3.86  1.27  0.38  0.45  0.41    117    250  18.15
 1986 252    74    39  15.0     2  1.02   973  1218     0   556     0  2191     0   0.0 0.000   290 0.000 0.000 0.000 0.683 0.000   1.75   0.00 104.4  0.00  0.00  1.00  3.87  1.29  0.38  0.45  0.42    128    250  18.00
 1986 253    75    40  15.0     2  1.00   978  1242     0   558     0  2220     0   0.0 0.000   290 0.000 0.000 0.000 0.684 0.000   1.74   0.00 102.6  0.00  0.00  1.00  3.87  1.30  0.38  0.45  0.42    139    250  17.25
 1986 254    76    41  15.0     2  0.99   985  1278     0   563     0  2264     0   0.0 0.000   292 0.000 0.000 0.000 0.684 0.000   1.73   0.00 100.9  0.00  0.00  1.00  3.88  1.31  0.38  0.46  0.43    151    250  18.10
 1986 255    77    42  15.0     2  0.98   992  1312     0   568     0  2304     0   0.0 0.000   293 0.000 0.000 0.000 0.690 0.000   1.71   0.00  99.2  0.00  0.00  1.00  3.90  1.33  0.39  0.46  0.43    164    250  19.45
 1986 256    78    43  15.0     2  0.97   999  1345     0   572     0  2344     0   0.0 0.000   294 0.000 0.000 0.000 0.695 0.000   1.71   0.00  97.5  0.00  0.00  1.00  3.92  1.35  0.39  0.47  0.44    177    250  19.60
 1986 257    79    44  15.0     3  0.96  1004  1386     0   575     0  2391     0   0.0 0.000   261 0.000 0.000 0.000 0.689 0.000   1.70   0.00  95.8  0.00  0.00  1.00  3.93  1.37  0.39  0.47  0.44    191    250  20.10
 1986 258    80    45  16.0     3  0.95  1011  1430     0   578     0  2441     0   0.0 0.000   233 0.000 0.000 0.000 0.688 0.000   1.68   0.00  94.1  0.00  0.00  1.00  3.93  1.39  0.39  0.48  0.45    205    250  20.55
 1986 259    81    46  16.0     3  0.94  1016  1472     0   581     0  2489     0   0.0 0.000   208 0.000 0.000 0.000 0.694 0.000   1.66   0.00  92.5  0.00  0.00  1.00  3.95  1.40  0.39  0.48  0.45    220    250  19.75
 1986 260    82    47  16.0     3  0.93  1021  1510     0   583     0  2531     0   0.0 0.000   187 0.000 0.000 0.000 0.695 0.000   1.67   0.00  90.7  0.00  0.00  1.00  3.96  1.41  0.39  0.49  0.46    235    250  20.20
 1986 261    83    48  16.0     3  0.91  1025  1543     0   584     0  2568     0   0.0 0.000   168 0.000 0.000 0.000 0.685 0.000   1.66   0.00  88.9  0.00  0.00  1.00  3.97  1.43  0.39  0.49  0.46    251    250  19.25
 1986 262    84    49  16.0     3  0.90  1031  1584     0   586     0  2615     0   0.0 0.000   151 0.000 0.000 0.000 0.683 0.000   1.65   0.00  87.2  0.00  0.00  1.00  3.97  1.44  0.39  0.49  0.47    268    250  18.65
 1986 263    85    50  16.0     3  0.89  1036  1626     0   589     0  2663     0   0.0 0.000   136 0.000 0.000 0.000 0.681 0.000   1.66   0.00  85.5  0.00  0.00  1.00  3.98  1.45  0.40  0.50  0.47    285    250  18.30
 1986 264    86    51  16.0     3  0.88  1043  1673     0   592     0  2716     0   0.0 0.000   123 0.000 0.000 0.000 0.658 0.000   1.64   0.00  84.0  0.00  0.00  1.00  3.99  1.47  0.40  0.50  0.47    303    250  17.45
 1986 265    87    52  16.0     3  0.86  1048  1707     0   593     0  2754     0   0.0 0.000   111 0.000 0.000 0.000 0.653 0.000   1.64   0.00  82.2  0.00  0.00  1.00  4.00  1.48  0.40  0.51  0.48    322    250  17.80
 1986 266    88    53  17.0     3  0.85  1052  1740     0   594     0  2792     0   0.0 0.000   102 0.000 0.000 0.000 0.639 0.000   1.65   0.00  80.4  0.00  0.00  1.00  4.01  1.50  0.40  0.51  0.48    341    250  18.90
 1986 267    89    54  17.0     3  0.83  1059  1781     0   597     0  2840     0   0.0 0.000    93 0.000 0.000 0.000 0.613 0.000   1.64   0.00  78.9  0.00  0.00  1.00  4.01  1.51  0.40  0.51  0.49    360    250  17.65
 1986 268    90    55  17.0     3  0.83  1066  1829     0   601     0  2895     0   0.0 0.000    86 0.000 0.000 0.000 0.600 0.000   1.63   0.00  77.4  0.00  0.00  1.00  4.02  1.52  0.40  0.52  0.49    380    250  19.00
 1986 269    91    56  17.0     3  0.82  1074  1880     0   605     0  2955     0   0.0 0.000    80 0.000 0.000 0.000 0.587 0.000   1.61   0.00  76.0  0.00  0.00  1.00  4.03  1.54  0.40  0.52  0.50    401    250  18.60
 1986 270    92    57  17.0     3  0.81  1082  1930     0   609     0  3012     0   0.0 0.000    75 0.000 0.000 0.000 0.585 0.000   1.60   0.00  74.5  0.00  0.00  1.00  4.05  1.56  0.40  0.53  0.50    423    250  19.40
 1986 271    93    58  17.0     3  0.79  1088  1975     0   612     0  3063     0   0.0 0.000    70 0.000 0.000 0.000 0.582 0.000   1.60   0.00  72.9  0.00  0.00  1.00  4.08  1.58  0.40  0.53  0.51    445    250  19.00
 1986 272    94    59  17.0     3  0.78  1093  2010     0   613     0  3102     0   0.0 0.000    66 0.000 0.000 0.000 0.565 0.000   1.59   0.00  71.1  0.00  0.00  1.00  4.09  1.60  0.40  0.54  0.51    468    250  17.60
 1986 273    95    60  17.0     3  0.76  1098  2051     0   616     0  3149     0   0.0 0.000    62 0.000 0.000 0.000 0.557 0.000   1.59   0.00  69.5  0.00  0.00  1.00  4.09  1.61  0.40  0.54  0.52    491    250  17.50
 1986 274    96    61  17.0     3  0.75  1104  2093     0   618     0  3197     0   0.0 0.000    59 0.000 0.000 0.000 0.549 0.000   1.57   0.00  67.8  0.00  0.00  1.00  4.10  1.63  0.40  0.54  0.52    515    250  17.60
 1986 275    97    62  18.0     3  0.73  1108  2127     0   619     0  3235     0   0.0 0.000    56 0.000 0.000 0.000 0.544 0.000   1.55   0.00  66.0  0.00  0.00  1.00  4.17  1.64  0.40  0.54  0.52    540    250  17.10
 1986 276    98    63  18.0     3  0.72  1114  2174     0   622     0  3289     0   0.0 0.000    53 0.000 0.000 0.000 0.542 0.000   1.53   0.00  64.5  0.00  0.00  1.00  4.24  1.65  0.40  0.54  0.52    565    250  18.10
 1986 277    99    64  18.0     3  0.70  1121  2221     0   625     0  3341     0   0.0 0.000    51 0.000 0.000 0.000 0.545 0.000   1.51   0.00  62.9  0.00  0.00  1.00  4.39  1.65  0.40  0.54  0.52    591    250  18.50
