*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      DEC 02, 2018; 12:33:06
                                                                                
*RUN   1        : 86_01                     RICER046 SSKT0001    1              
 MODEL          : RICER046 - Rice                                               
 EXPERIMENT     : SSKT0001 RI mulation, Thailand                                
 DATA PATH      : C:\DSSAT46\Rice\                                              
 TREATMENT  1   : 86_01                     RICER046                            
  
@YEAR DOY   DAS   DAP  CNAD  GNAD  VNAD  GN%D  VN%D  NUPC  LNAD  SNAD  LN%D  SN%D  SHND  RN%D  SNN0C  SNN1C                                 
 2010 322   144   109  19.0   8.9  10.2  0.91  1.60 861.0   7.3   2.8  1.60  1.60  0.00  1.23  15.61   6.21

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      DEC 02, 2018; 12:33:16
                                                                                
*RUN  26        : 11_01                     RICER046 SSKT0001   26              
 MODEL          : RICER046 - Rice                                               
 EXPERIMENT     : SSKT0001 RI mulation, Thailand                                
 DATA PATH      : C:\DSSAT46\Rice\                                              
 TREATMENT 26   : 11_01                     RICER046                            
  
@YEAR DOY   DAS   DAP  CNAD  GNAD  VNAD  GN%D  VN%D  NUPC  LNAD  SNAD  LN%D  SN%D  SHND  RN%D  SNN0C  SNN1C                                 
 2011 213    35     0   9.5   0.0   9.5  0.00  3.35 862.9   8.6   1.0  3.35  3.35  0.00  0.67   0.00   0.00
 2011 214    36     1  10.9   0.0  10.9  0.00  3.82 864.9   9.8   1.1  3.82  3.82  0.00  1.10   0.00   0.00
 2011 215    37     2  11.4   0.0  11.4  0.00  3.99 865.7  10.2   1.1  3.99  3.99  0.00  1.24   0.01   0.00
 2011 216    38     3  11.4   0.0  11.4  0.00  3.98 865.9  10.2   1.1  3.98  3.98  0.00  1.33   0.02   0.13
 2011 217    39     4  11.3   0.0  11.3  0.00  3.96 866.0  10.2   1.1  3.96  3.96  0.00  1.28   0.02   0.29
 2011 218    40     5  11.3   0.0  11.3  0.00  3.95 866.2  10.2   1.1  3.95  3.95  0.00  1.26   0.03   0.45
 2011 219    41     6  11.3   0.0  11.3  0.00  3.92 866.2  10.2   1.1  3.92  3.92  0.00  1.14   0.04   0.62
 2011 220    42     7  11.3   0.0  11.3  0.00  3.81 866.2  10.1   1.2  3.81  3.81  0.00  1.10   0.04   0.80
 2011 221    43     8  11.3   0.0  11.3  0.00  3.55 866.2   9.8   1.5  3.55  3.55  0.00  1.06   0.05   0.97
 2011 222    44     9  12.0   0.0  12.0  0.00  3.43 867.0  10.1   1.9  3.43  3.43  0.00  1.03   0.05   1.15
 2011 223    45    10  13.4   0.0  13.4  0.00  3.40 868.4  10.8   2.6  3.40  3.40  0.00  1.03   0.06   1.33
 2011 224    46    11  14.8   0.0  14.8  0.00  3.40 870.0  11.6   3.2  3.40  3.40  0.00  1.03   0.07   1.51
 2011 225    47    12  16.8   0.0  16.8  0.00  3.41 872.1  12.7   4.1  3.41  3.41  0.00  1.03   0.07   1.70
 2011 226    48    13  19.6   0.0  19.6  0.00  3.42 875.2  14.1   5.5  3.42  3.42  0.00  1.05   0.08   1.90
 2011 227    49    14  22.7   0.0  22.7  0.00  3.38 878.5  15.8   6.9  3.38  3.38  0.00  1.05   0.09   2.12
 2011 228    50    15  25.3   0.0  25.3  0.00  3.21 881.3  17.0   8.2  3.21  3.21  0.00  1.02   0.09   2.36
 2011 229    51    16  27.1   0.0  27.1  0.00  2.95 883.3  17.8   9.3  2.95  2.95  0.00  0.97   0.11   2.36
 2011 230    52    17  28.4   0.0  28.4  0.00  2.67 884.7  18.2  10.2  2.67  2.67  0.00  0.92   0.13   2.36
 2011 231    53    18  29.3   0.0  29.3  0.00  2.56 885.6  18.2  11.0  2.56  2.56  0.00  0.89   0.17   2.36
 2011 232    54    19  29.5   0.0  29.5  0.00  2.43 885.8  17.9  11.5  2.43  2.43  0.00  0.87   0.21   2.36
 2011 233    55    20  30.1   0.0  30.1  0.00  2.35 886.5  17.9  12.3  2.35  2.35  0.00  0.85   0.26   2.36
 2011 234    56    21  30.4   0.0  30.4  0.00  2.23 886.8  17.5  12.9  2.23  2.23  0.00  0.82   0.32   2.36
 2011 235    57    22  30.7   0.0  30.7  0.00  2.12 887.1  17.1  13.5  2.12  2.12  0.00  0.80   0.40   2.36
 2011 236    58    23  31.4   0.0  31.4  0.00  2.07 887.9  17.1  14.3  2.07  2.07  0.00  0.79   0.48   2.36
 2011 237    59    24  31.7   0.0  31.7  0.00  2.01 888.1  16.9  14.8  2.01  2.01  0.00  0.77   0.57   2.36
 2011 238    60    25  31.9   0.0  31.9  0.00  1.95 888.4  16.6  15.3  1.95  1.95  0.00  0.76   0.67   2.36
 2011 239    61    26  32.3   0.0  32.3  0.00  1.90 888.8  16.5  15.8  1.90  1.90  0.00  0.75   0.78   2.36
 2011 240    62    27  32.9   0.0  32.9  0.00  1.89 889.5  16.5  16.4  1.89  1.89  0.00  0.75   0.89   2.36
 2011 241    63    28  33.2   0.0  33.2  0.00  1.84 889.7  16.4  16.8  1.84  1.84  0.00  0.74   1.02   2.36
 2011 242    64    29  33.4   0.0  33.4  0.00  1.80 890.0  16.2  17.3  1.80  1.80  0.00  0.73   1.16   2.36
 2011 243    65    30  33.4   0.0  33.4  0.00  1.75 890.0  15.9  17.6  1.75  1.75  0.00  0.72   1.30   2.36
 2011 244    66    31  33.4   0.0  33.4  0.00  1.72 890.0  15.7  17.8  1.72  1.72  0.00  0.71   1.45   2.36
 2011 245    67    32  33.4   0.0  33.4  0.00  1.69 890.0  15.5  18.0  1.69  1.69  0.00  0.71   1.61   2.36
 2011 246    68    33  33.4   0.0  33.4  0.00  1.66 890.0  15.3  18.1  1.66  1.66  0.00  0.70   1.78   2.36
 2011 247    69    34  33.4   0.0  33.4  0.00  1.64 890.0  15.2  18.3  1.64  1.64  0.00  0.70   1.96   2.36
 2011 248    70    35  33.4   0.0  33.4  0.00  1.62 890.0  15.0  18.4  1.62  1.62  0.00  0.70   2.15   2.36
 2011 249    71    36  33.4   0.0  33.4  0.00  1.59 890.0  14.9  18.6  1.59  1.59  0.00  0.70   2.35   2.36
 2011 250    72    37  33.9   0.0  33.9  0.00  1.59 890.5  14.9  19.0  1.59  1.59  0.00  0.70   2.55   2.36
 2011 251    73    38  33.9   0.0  33.9  0.00  1.58 890.5  14.8  19.1  1.58  1.58  0.00  0.70   2.76   2.36
 2011 252    74    39  33.9   0.0  33.9  0.00  1.56 890.5  14.7  19.2  1.56  1.56  0.00  0.70   2.98   2.36
 2011 253    75    40  33.9   0.0  33.9  0.00  1.54 890.5  14.5  19.4  1.54  1.54  0.00  0.70   3.21   2.36
 2011 254    76    41  33.9   0.0  33.9  0.00  1.52 890.5  14.4  19.5  1.52  1.52  0.00  0.69   3.44   2.36
 2011 255    77    42  33.9   0.0  33.9  0.00  1.50 890.5  14.2  19.7  1.50  1.50  0.00  0.69   3.69   2.36
 2011 256    78    43  33.9   0.0  33.9  0.00  1.48 890.5  14.1  19.8  1.48  1.48  0.00  0.69   3.94   2.36
 2011 257    79    44  33.9   0.0  33.9  0.00  1.46 890.5  14.0  19.9  1.46  1.46  0.00  0.69   4.20   2.36
 2011 258    80    45  33.9   0.0  33.9  0.00  1.45 890.5  13.9  20.0  1.45  1.45  0.00  0.69   4.47   2.36
 2011 259    81    46  33.9   0.0  33.9  0.00  1.44 890.5  13.8  20.1  1.44  1.44  0.00  0.70   4.74   2.36
 2011 260    82    47  34.8   0.0  34.8  0.00  1.47 891.4  14.1  20.7  1.47  1.47  0.00  0.71   5.03   2.36
 2011 261    83    48  34.9   0.0  34.9  0.00  1.46 891.6  14.0  20.9  1.46  1.46  0.00  0.71   5.32   2.36
 2011 262    84    49  35.0   0.0  35.0  0.00  1.45 891.7  13.9  21.1  1.45  1.45  0.00  0.71   5.62   2.36
 2011 263    85    50  35.0   0.0  35.0  0.00  1.43 891.7  13.7  21.3  1.43  1.43  0.00  0.71   5.92   2.36
 2011 264    86    51  35.1   0.0  35.1  0.00  1.42 891.8  13.7  21.5  1.42  1.42  0.00  0.71   6.24   2.36
 2011 265    87    52  35.3   0.0  35.3  0.00  1.41 892.0  13.6  21.7  1.41  1.41  0.00  0.72   6.56   2.36
 2011 266    88    53  35.5   0.0  35.5  0.00  1.41 892.2  13.6  21.9  1.41  1.41  0.00  0.72   6.89   2.36
 2011 267    89    54  36.2   0.0  36.2  0.00  1.42 892.9  13.7  22.4  1.42  1.42  0.00  0.73   7.23   2.36
 2011 268    90    55  36.4   0.0  36.4  0.00  1.42 893.1  13.7  22.7  1.42  1.42  0.00  0.73   7.57   2.36
 2011 269    91    56  36.6   0.0  36.6  0.00  1.41 893.3  13.7  22.9  1.41  1.41  0.00  0.74   7.93   2.36
 2011 270    92    57  36.8   0.0  36.8  0.00  1.41 893.6  13.6  23.2  1.41  1.41  0.00  0.74   8.29   2.36
 2011 271    93    58  37.1   0.0  37.1  0.00  1.41 893.8  13.7  23.4  1.41  1.41  0.00  0.75   8.66   2.36
 2011 272    94    59  37.3   0.0  37.3  0.00  1.40 894.1  13.6  23.7  1.40  1.40  0.00  0.75   9.03   2.36
 2011 273    95    60  38.0   0.0  38.0  0.00  1.41 894.8  13.8  24.2  1.41  1.41  0.00  0.76   9.42   2.36
 2011 274    96    61  38.2   0.0  38.2  0.00  1.41 895.1  13.8  24.5  1.41  1.41  0.00  0.76   9.81   2.36
 2011 275    97    62  38.9   0.0  38.9  0.00  1.42 895.8  13.9  25.0  1.42  1.42  0.00  0.77  10.21   2.36
 2011 276    98    63  39.2   0.0  39.2  0.00  1.42 896.1  13.9  25.3  1.42  1.42  0.00  0.77  10.62   2.36
 2011 277    99    64  39.4   0.0  39.4  0.00  1.41 896.3  13.8  25.5  1.41  1.41  0.00  0.77  11.03   2.36
 2011 278   100    65  39.7   0.0  39.7  0.00  1.40 896.6  13.8  25.8  1.40  1.40  0.00  0.78  11.46   2.36
 2011 279   101    66  40.0   0.0  40.0  0.00  1.40 896.9  13.8  26.2  1.40  1.40  0.00  0.78  11.89   2.36
 2011 280   102    67  40.1   0.0  40.1  0.00  1.39 897.1  13.7  26.4  1.39  1.39  0.00  0.78  12.33   2.36
 2011 281   103    68  40.4   0.0  40.4  0.00  1.38 897.4  13.7  26.7  1.38  1.38  0.00  0.78  12.77   2.36
 2011 282   104    69  40.6   0.0  40.6  0.00  1.37 897.6  13.7  26.9  1.37  1.37  0.00  0.79  13.23   2.36
 2011 283   105    70  40.7   0.0  40.7  0.00  1.36 897.7  13.6  27.1  1.36  1.36  0.00  0.79  13.69   2.36
 2011 284   106    71  40.8   0.0  40.8  0.00  1.35 897.8  13.5  27.3  1.35  1.35  0.00  0.79  14.16   2.36
 2011 285   107    72  41.1   0.0  41.1  0.00  1.35 898.1  13.5  27.6  1.35  1.35  0.00  0.79  14.64   2.36
 2011 286   108    73  41.3   0.0  41.3  0.00  1.34 898.3  13.5  27.8  1.34  1.34  0.00  0.79  15.13   2.36
 2011 287   109    74  41.6   0.0  41.6  0.00  1.34 898.7  13.5  28.2  1.34  1.34  0.00  0.80  15.63   2.36
 2011 288   110    75  42.0   0.0  42.0  0.00  1.34 899.0  13.5  28.5  1.34  1.34  0.00  0.80  16.14   2.36
 2011 289   111    76  42.7   0.0  42.7  0.00  1.35 899.8  13.6  29.1  1.35  1.35  0.00  0.81  16.66   2.36
 2011 290   112    77  42.9   0.0  42.9  0.00  1.35 900.0  13.6  29.3  1.35  1.35  0.00  0.82  17.18   2.36
 2011 291   113    78  43.5   0.0  43.5  0.00  1.36 900.7  13.7  29.8  1.36  1.36  0.00  0.83  17.72   2.36
 2011 292   114    79  43.8   0.0  43.8  0.00  1.36 901.0  13.7  30.1  1.36  1.36  0.00  0.84  18.26   2.36
 2011 293   115    80  44.0   0.0  44.0  0.00  1.36 901.2  13.7  30.3  1.36  1.36  0.00  0.84  18.81   2.36
 2011 294   116    81  44.9   0.0  44.9  0.00  1.38 902.2  13.9  31.0  1.38  1.38  0.00  0.86  19.35   2.36
 2011 295   117    82  45.3   0.0  45.3  0.00  1.37 902.6  13.9  31.4  1.37  1.37  0.00  0.87  19.90   2.36
 2011 296   118    83  45.7   0.0  45.7  0.00  1.38 903.1  13.9  31.8  1.38  1.38  0.00  0.88  20.45   2.36
 2011 297   119    84  46.1   0.0  46.1  0.00  1.37 903.5  13.9  32.2  1.37  1.37  0.00  0.89  21.00   2.36
 2011 298   120    85  46.4   0.0  46.4  0.00  1.37 903.9  13.9  32.5  1.37  1.37  0.00  0.90  21.55   2.36
 2011 299   121    86  47.4   0.0  47.4  0.00  1.39 905.0  14.0  33.3  1.39  1.39  0.00  0.92  22.10   2.36
 2011 300   122    87  47.5  10.2  37.3  0.83  1.67 905.2  16.9  20.4  1.67  1.67  0.00  0.94  22.65   2.36
 2011 301   123    88  47.5  10.2  37.3  0.83  1.64 905.6  16.6  20.7  1.64  1.64  0.00  1.01  23.20   2.73
 2011 302   124    89  47.5  10.2  37.3  0.83  1.62 905.6  16.3  20.9  1.62  1.62  0.00  1.01  23.75   3.13
 2011 303   125    90  47.5  10.2  37.3  0.83  1.60 905.6  16.2  21.1  1.60  1.60  0.00  1.02  24.30   3.53
 2011 304   126    91  47.5  11.1  36.4  0.84  1.61 905.6  16.1  20.3  1.61  1.61  0.00  1.02  24.85   3.94
 2011 305   127    92  47.5  12.0  35.5  0.85  1.62 905.6  16.1  19.4  1.62  1.62  0.00  1.03  25.40   4.34
 2011 306   128    93  47.5  12.9  34.5  0.85  1.63 905.6  16.0  18.5  1.63  1.63  0.00  1.03  25.96   4.74
 2011 307   129    94  47.5  13.9  33.6  0.86  1.64 905.6  15.9  17.7  1.64  1.64  0.00  1.03  26.51   5.14
 2011 308   130    95  47.5  14.8  32.7  0.87  1.64 905.6  15.8  17.0  1.64  1.64  0.00  1.04  27.06   5.54
 2011 309   131    96  47.5  15.7  31.8  0.88  1.64 905.6  15.6  16.2  1.64  1.64  0.00  1.04  27.61   5.94
 2011 310   132    97  47.5  16.6  30.9  0.89  1.65 905.6  15.5  15.4  1.65  1.65  0.00  1.05  28.17   6.34
 2011 311   133    98  47.5  17.5  30.0  0.90  1.65 905.6  15.4  14.6  1.65  1.65  0.00  1.05  28.72   6.75
 2011 312   134    99  47.5  18.4  29.1  0.91  1.65 905.6  15.3  13.8  1.65  1.65  0.00  1.06  29.27   7.15
 2011 313   135   100  47.5  19.2  28.2  0.92  1.64 905.6  15.1  13.1  1.64  1.64  0.00  1.06  29.83   7.55
 2011 314   136   101  47.5  20.1  27.4  0.93  1.64 905.6  15.0  12.4  1.64  1.64  0.00  1.07  30.38   7.95
 2011 315   137   102  47.5  21.0  26.5  0.94  1.62 905.6  14.7  11.8  1.62  1.62  0.00  1.07  30.94   8.35
 2011 316   138   103  47.5  21.9  25.6  0.96  1.61 905.6  14.5  11.1  1.61  1.61  0.00  1.08  31.49   8.75
 2011 317   139   104  47.5  22.8  24.7  0.97  1.59 905.6  14.3  10.4  1.59  1.59  0.00  1.08  32.05   9.15
 2011 318   140   105  47.5  23.2  24.3  0.97  1.58 905.6  14.6   9.7  1.58  1.58  0.00  1.09  32.60   9.56
 2011 319   141   106  47.5  23.4  24.1  0.98  1.56 905.6  14.4   9.6  1.56  1.56  0.00  1.10  33.16   9.96
 2011 320   142   107  47.5  23.7  23.8  0.98  1.55 905.6  14.3   9.5  1.55  1.55  0.00  1.10  33.71  10.36
 2011 321   143   108  47.5  23.7  23.8  0.98  1.55 905.6  14.3   9.5  1.55  1.55  0.00  1.10  33.71  10.36
 2011 322   144   109  47.5  23.7  23.8  0.98  1.55 905.6  14.3   9.5  1.55  1.55  0.00  1.10  33.71  10.36

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      DEC 02, 2018; 12:33:16
                                                                                
*RUN  27        : 12_01                     RICER046 SSKT0001   27              
 MODEL          : RICER046 - Rice                                               
 EXPERIMENT     : SSKT0001 RI mulation, Thailand                                
 DATA PATH      : C:\DSSAT46\Rice\                                              
 TREATMENT 27   : 12_01                     RICER046                            
  
@YEAR DOY   DAS   DAP  CNAD  GNAD  VNAD  GN%D  VN%D  NUPC  LNAD  SNAD  LN%D  SN%D  SHND  RN%D  SNN0C  SNN1C                                 
 2012 213    35     0   9.5   0.0   9.5  0.00  3.33 907.4   8.5   0.9  3.33  3.33  0.00  0.65   0.00   0.00
 2012 214    36     1  10.7   0.0  10.7  0.00  3.78 909.3   9.7   1.1  3.78  3.78  0.00  1.10   0.00   0.00
 2012 215    37     2  11.3   0.0  11.3  0.00  3.97 910.2  10.2   1.1  3.97  3.97  0.00  1.27   0.01   0.00
 2012 216    38     3  11.3   0.0  11.3  0.00  3.96 910.4  10.2   1.1  3.96  3.96  0.00  1.24   0.02   0.14
 2012 217    39     4  11.3   0.0  11.3  0.00  3.94 910.5  10.2   1.1  3.94  3.94  0.00  1.20   0.02   0.28
 2012 218    40     5  11.3   0.0  11.3  0.00  3.93 910.9  10.2   1.1  3.93  3.93  0.00  1.29   0.03   0.44
 2012 219    41     6  11.3   0.0  11.3  0.00  3.91 910.9  10.2   1.1  3.91  3.91  0.00  1.20   0.04   0.63
 2012 220    42     7  11.3   0.0  11.3  0.00  3.78 910.9  10.0   1.3  3.78  3.78  0.00  1.14   0.05   0.81
 2012 221    43     8  11.3   0.0  11.3  0.00  3.53 910.9   9.8   1.5  3.53  3.53  0.00  1.10   0.05   1.00
 2012 222    44     9  12.2   0.0  12.2  0.00  3.43 911.8  10.2   2.0  3.43  3.43  0.00  1.05   0.06   1.19
 2012 223    45    10  13.2   0.0  13.2  0.00  3.50 913.1  10.8   2.4  3.50  3.50  0.00  1.08   0.07   1.37
 2012 224    46    11  14.8   0.0  14.8  0.00  3.40 914.7  11.6   3.2  3.40  3.40  0.00  1.03   0.07   1.57
 2012 225    47    12  16.8   0.0  16.8  0.00  3.39 916.9  12.7   4.2  3.39  3.39  0.00  1.03   0.08   1.78
 2012 226    48    13  19.7   0.0  19.7  0.00  3.40 920.0  14.2   5.5  3.40  3.40  0.00  1.04   0.09   1.99
 2012 227    49    14  22.3   0.0  22.3  0.00  3.35 922.9  15.6   6.7  3.35  3.35  0.00  1.04   0.09   2.22
 2012 228    50    15  25.0   0.0  25.0  0.00  3.37 925.7  17.1   7.9  3.37  3.37  0.00  1.04   0.10   2.22
 2012 229    51    16  27.1   0.0  27.1  0.00  3.21 927.9  18.0   9.0  3.21  3.21  0.00  1.01   0.11   2.48
 2012 230    52    17  28.3   0.0  28.3  0.00  2.89 929.3  18.4   9.9  2.89  2.89  0.00  0.96   0.12   2.48
 2012 231    53    18  29.2   0.0  29.2  0.00  2.74 930.3  18.5  10.7  2.74  2.74  0.00  0.93   0.15   2.48
 2012 232    54    19  29.5   0.0  29.5  0.00  2.51 930.5  18.0  11.4  2.51  2.51  0.00  0.88   0.18   2.48
 2012 233    55    20  30.2   0.0  30.2  0.00  2.38 931.3  17.9  12.3  2.38  2.38  0.00  0.86   0.23   2.48
 2012 234    56    21  30.5   0.0  30.5  0.00  2.25 931.6  17.5  12.9  2.25  2.25  0.00  0.83   0.28   2.48
 2012 235    57    22  30.9   0.0  30.9  0.00  2.15 932.0  17.2  13.6  2.15  2.15  0.00  0.81   0.35   2.48
 2012 236    58    23  31.3   0.0  31.3  0.00  2.10 932.4  17.1  14.1  2.10  2.10  0.00  0.80   0.42   2.48
 2012 237    59    24  32.1   0.0  32.1  0.00  2.07 933.3  17.2  14.9  2.07  2.07  0.00  0.79   0.50   2.48
 2012 238    60    25  32.5   0.0  32.5  0.00  2.00 933.7  17.0  15.5  2.00  2.00  0.00  0.78   0.59   2.48
 2012 239    61    26  32.9   0.0  32.9  0.00  1.96 934.1  16.9  16.0  1.96  1.96  0.00  0.77   0.69   2.48
 2012 240    62    27  33.3   0.0  33.3  0.00  1.93 934.6  16.8  16.5  1.93  1.93  0.00  0.76   0.80   2.48
 2012 241    63    28  33.7   0.0  33.7  0.00  1.90 935.0  16.7  16.9  1.90  1.90  0.00  0.76   0.92   2.48
 2012 242    64    29  33.7   0.0  33.7  0.00  1.85 935.0  16.5  17.3  1.85  1.85  0.00  0.74   1.05   2.48
 2012 243    65    30  33.7   0.0  33.7  0.00  1.81 935.0  16.3  17.4  1.81  1.81  0.00  0.74   1.18   2.48
 2012 244    66    31  33.7   0.0  33.7  0.00  1.76 935.0  16.0  17.7  1.76  1.76  0.00  0.73   1.33   2.48
 2012 245    67    32  33.7   0.0  33.7  0.00  1.73 935.0  15.8  17.9  1.73  1.73  0.00  0.72   1.48   2.48
 2012 246    68    33  33.7   0.0  33.7  0.00  1.70 935.0  15.6  18.1  1.70  1.70  0.00  0.72   1.65   2.48
 2012 247    69    34  33.7   0.0  33.7  0.00  1.68 935.0  15.5  18.3  1.68  1.68  0.00  0.72   1.82   2.48
 2012 248    70    35  33.7   0.0  33.7  0.00  1.65 935.0  15.3  18.4  1.65  1.65  0.00  0.72   2.00   2.48
 2012 249    71    36  34.3   0.0  34.3  0.00  1.65 935.6  15.4  18.9  1.65  1.65  0.00  0.72   2.19   2.48
 2012 250    72    37  34.3   0.0  34.3  0.00  1.62 935.6  15.2  19.1  1.62  1.62  0.00  0.71   2.39   2.48
 2012 251    73    38  34.3   0.0  34.3  0.00  1.60 935.6  15.1  19.2  1.60  1.60  0.00  0.71   2.59   2.48
 2012 252    74    39  34.3   0.0  34.3  0.00  1.59 935.6  14.9  19.3  1.59  1.59  0.00  0.71   2.80   2.48
 2012 253    75    40  34.3   0.0  34.3  0.00  1.56 935.6  14.8  19.5  1.56  1.56  0.00  0.71   3.03   2.48
 2012 254    76    41  34.3   0.0  34.3  0.00  1.54 935.6  14.6  19.7  1.54  1.54  0.00  0.70   3.26   2.48
 2012 255    77    42  34.3   0.0  34.3  0.00  1.51 935.6  14.4  19.8  1.51  1.51  0.00  0.70   3.50   2.48
 2012 256    78    43  34.3   0.0  34.3  0.00  1.50 935.6  14.3  19.9  1.50  1.50  0.00  0.70   3.74   2.48
 2012 257    79    44  34.3   0.0  34.3  0.00  1.48 935.6  14.2  20.1  1.48  1.48  0.00  0.70   4.00   2.48
 2012 258    80    45  34.3   0.0  34.3  0.00  1.47 935.6  14.1  20.2  1.47  1.47  0.00  0.70   4.26   2.48
 2012 259    81    46  34.3   0.0  34.3  0.00  1.46 935.6  14.0  20.3  1.46  1.46  0.00  0.71   4.53   2.48
 2012 260    82    47  34.3   0.0  34.3  0.00  1.45 935.6  13.9  20.4  1.45  1.45  0.00  0.71   4.81   2.48
 2012 261    83    48  34.3   0.0  34.3  0.00  1.43 935.6  13.8  20.5  1.43  1.43  0.00  0.71   5.09   2.48
 2012 262    84    49  34.8   0.0  34.8  0.00  1.44 936.2  13.9  21.0  1.44  1.44  0.00  0.72   5.39   2.48
 2012 263    85    50  34.8   0.0  34.8  0.00  1.42 936.2  13.7  21.1  1.42  1.42  0.00  0.72   5.69   2.48
 2012 264    86    51  34.8   0.0  34.8  0.00  1.41 936.2  13.6  21.2  1.41  1.41  0.00  0.72   6.00   2.48
 2012 265    87    52  34.8   0.0  34.8  0.00  1.39 936.2  13.5  21.4  1.39  1.39  0.00  0.72   6.31   2.48
 2012 266    88    53  34.8   0.0  34.8  0.00  1.38 936.2  13.4  21.5  1.38  1.38  0.00  0.72   6.64   2.48
 2012 267    89    54  34.8   0.0  34.8  0.00  1.37 936.2  13.3  21.6  1.37  1.37  0.00  0.73   6.97   2.48
 2012 268    90    55  34.8   0.0  34.8  0.00  1.36 936.2  13.2  21.7  1.36  1.36  0.00  0.73   7.31   2.48
 2012 269    91    56  34.8   0.0  34.8  0.00  1.35 936.2  13.1  21.7  1.35  1.35  0.00  0.73   7.65   2.48
 2012 270    92    57  34.8   0.0  34.8  0.00  1.34 936.2  13.0  21.9  1.34  1.34  0.00  0.73   8.01   2.48
 2012 271    93    58  34.8   0.0  34.8  0.00  1.33 936.2  12.9  21.9  1.33  1.33  0.00  0.74   8.37   2.48
 2012 272    94    59  34.8   0.0  34.8  0.00  1.32 936.2  12.8  22.0  1.32  1.32  0.00  0.74   8.74   2.48
 2012 273    95    60  34.8   0.0  34.8  0.00  1.31 936.2  12.7  22.1  1.31  1.31  0.00  0.74   9.11   2.48
 2012 274    96    61  34.8   0.0  34.8  0.00  1.30 936.2  12.6  22.2  1.30  1.30  0.00  0.74   9.50   2.48
 2012 275    97    62  34.8   0.0  34.8  0.00  1.29 936.2  12.5  22.3  1.29  1.29  0.00  0.74   9.89   2.48
 2012 276    98    63  34.8   0.0  34.8  0.00  1.27 936.2  12.4  22.4  1.27  1.27  0.00  0.75  10.28   2.48
 2012 277    99    64  34.9   0.0  34.9  0.00  1.27 936.3  12.3  22.6  1.27  1.27  0.00  0.75  10.69   2.48
 2012 278   100    65  35.1   0.0  35.1  0.00  1.26 936.5  12.3  22.8  1.26  1.26  0.00  0.75  11.10   2.48
 2012 279   101    66  35.3   0.0  35.3  0.00  1.26 936.7  12.3  23.0  1.26  1.26  0.00  0.75  11.52   2.48
 2012 280   102    67  35.6   0.0  35.6  0.00  1.26 937.0  12.3  23.3  1.26  1.26  0.00  0.76  11.94   2.48
 2012 281   103    68  36.4   0.0  36.4  0.00  1.28 937.9  12.5  23.9  1.28  1.28  0.00  0.77  12.38   2.48
 2012 282   104    69  36.8   0.0  36.8  0.00  1.28 938.2  12.5  24.2  1.28  1.28  0.00  0.78  12.82   2.48
 2012 283   105    70  37.1   0.0  37.1  0.00  1.28 938.6  12.6  24.5  1.28  1.28  0.00  0.78  13.26   2.48
 2012 284   106    71  37.4   0.0  37.4  0.00  1.28 939.0  12.6  24.9  1.28  1.28  0.00  0.79  13.72   2.48
 2012 285   107    72  37.8   0.0  37.8  0.00  1.28 939.4  12.6  25.2  1.28  1.28  0.00  0.79  14.18   2.48
 2012 286   108    73  38.2   0.0  38.2  0.00  1.28 939.8  12.6  25.6  1.28  1.28  0.00  0.80  14.65   2.48
 2012 287   109    74  38.5   0.0  38.5  0.00  1.28 940.1  12.6  26.0  1.28  1.28  0.00  0.80  15.13   2.48
 2012 288   110    75  39.4   0.0  39.4  0.00  1.29 941.1  12.8  26.7  1.29  1.29  0.00  0.81  15.62   2.48
 2012 289   111    76  39.8   0.0  39.8  0.00  1.30 941.5  12.8  27.0  1.30  1.30  0.00  0.82  16.12   2.48
 2012 290   112    77  40.2   0.0  40.2  0.00  1.30 941.9  12.8  27.4  1.30  1.30  0.00  0.83  16.62   2.48
 2012 291   113    78  40.6   0.0  40.6  0.00  1.30 942.3  12.9  27.7  1.30  1.30  0.00  0.84  17.14   2.48
 2012 292   114    79  41.0   0.0  41.0  0.00  1.31 942.8  12.9  28.0  1.31  1.31  0.00  0.85  17.65   2.48
 2012 293   115    80  41.4   0.0  41.4  0.00  1.31 943.3  13.0  28.4  1.31  1.31  0.00  0.86  18.17   2.48
 2012 294   116    81  41.9   0.0  41.9  0.00  1.32 943.8  13.1  28.8  1.32  1.32  0.00  0.87  18.68   2.48
 2012 295   117    82  42.3   0.0  42.3  0.00  1.32 944.2  13.1  29.2  1.32  1.32  0.00  0.88  19.20   2.48
 2012 296   118    83  42.7   0.0  42.7  0.00  1.32 944.7  13.0  29.6  1.32  1.32  0.00  0.88  19.72   2.48
 2012 297   119    84  43.2   0.0  43.2  0.00  1.32 945.2  13.1  30.1  1.32  1.32  0.00  0.90  20.24   2.48
 2012 298   120    85  43.3   8.2  35.1  0.71  1.64 945.5  16.2  18.9  1.64  1.64  0.00  0.92  20.75   2.48
 2012 299   121    86  43.3   8.2  35.0  0.71  1.61 945.9  15.9  19.1  1.61  1.61  0.00  1.01  21.27   2.84
 2012 300   122    87  43.3   8.3  35.0  0.71  1.58 945.9  15.6  19.4  1.58  1.58  0.00  1.01  21.79   3.24
